ID_ACIDENT;CADLOGA;CADLOGB;ALT_NUM;REFERENCIA;DATA;HORA;COD_ACID;FONTE;VIATURA;DP;TALAO;SENTIDO;PISTA;VEICULOS;VITIMAS;DEC;DISTRITO;FOLHA;PRINC_A;PRINC_B;PLACA1;TIPO_PLAC1;PLACA2;TIPO_PLAC2;PLACA3;TIPO_PLAC3;TIPO_ACIDE;FLAG_DUPL;NV_DUPL;DUPLACAS;CADLOG
D011200002;13317;;201;;01/01/2012;0816;2;D;;01;08;;;10000000000000000;0300;CT;17;0101;13317;;DSF9060;AU;;;;;CH;;;;
D011200005;20418;;;NC;03/01/2012;2200;4;D;;01;67;;;00000000000000010;0100;CT;01;0101;20418;;;SI;;;;;AT;;;;
D011200006;15984;;;NC;04/01/2012;1206;4;D;;01;93;;;01000000000000000;0200;CT;01;0101;15984;;DZL0681;MO;;;;;AT;;;;
D011200008;17025;16744;;;07/01/2012;0641;4;D;;01;182;;;00000001000000000;0100;SI;80;0101;16744;17025;DJB5762;OU;;;;;AT;;;;
D011200012;06642;;3350;;10/01/2012;1440;2;D;;01;292;C;;11000000000000000;0100;CT;09;0102;06642;;EYC8039;AU;DUV3432;MO;;;CO;;;;
D011200015;19764;;;PXVD JACEGUAI;12/01/2012;0835;2;D;;01;345;;;01000000000000000;0100;VM;80;0102;19764;;EFC7567;MO;;;;;QM;;;;
D011200018;11824;07335;;;16/01/2012;0805;2;D;;01;447;;;00000001000000000;0100;CT;80;0103;07335;11824;ECT1238;OU;;;;;QD;;;;
D011200021;17025;;268;;23/01/2012;2121;4;D;;01;501;;;00000000000000010;0100;CT;01;0103;17025;;;SI;;;;;AT;;;;
D011200025;15635;;100;;23/01/2012;0500;2;D;;01;649;;;10000000000000000;0200;CT;80;0103;15635;;DST7648;AU;;;;;CP;;;;
D011200027;15984;;;NC;23/01/2012;1800;4;D;;01;694;;;00000000000000010;0100;CT;01;0103;15984;;;SI;;;;;AT;;;;
D011200029;00275;;83;;24/01/2012;1417;4;D;;01;721;;;10000000000000000;0100;CT;80;0104;00275;;FAB8095;AU;;;;;AT;;;;
D011200031;06642;13853;;;26/01/2012;0600;4;D;;01;754;;;10000000000000000;0100;CT;80;0104;06642;13853;ERZ7347;AU;;;;;AT;;;;
D011200033;13853;06642;;;28/01/2012;0940;2;D;;01;823;;;11000000000000000;0100;CT;80;0104;06642;13853;DTE0036;AU;ANG3723;MO;;;CO;;;;
D011200037;15984;;3350;;31/01/2012;0820;4;D;;01;907;;;01000000000000000;0200;CT;01;0104;15984;;DZL9088;MO;;;;;AT;;;;
D011200051;17000;09276;;;01/01/2012;0440;2;D;;03;09;;;10000000000000000;0200;SA;67;0107;09276;17000;BNP7265;AU;;;;;CH;;;;
D011200055;00880;;40;;07/01/2012;1333;4;D;;03;183;;;10000000000000000;0100;CT;67;0107;00880;;DZH7184;AU;;;;;AT;;;;
D011200056;17633;;;PXLGO PAISSANDU;10/01/2012;2030;2;D;;03;269;;;11000000000000000;0100;CT;67;0107;17633;;CFF9474;AU;DTF8259;MO;;;CO;;;;
D011200057;17000;09276;;;11/01/2012;0141;2;D;;03;280;;;10000000000000000;0100;CT;67;0107;09276;17000;DFL9179;AU;;;;;CH;;;;
D011200060;17000;09276;;;20/01/2012;0545;2;D;;03;561;;;10000000000000000;0100;HG;67;0107;09276;17000;DZI1809;AU;;;;;CH;;;;
D011200063;12132;;;PXPC D JOSE GAS;27/01/2012;2310;4;D;;03;783;;;01000000000000000;0100;CT;67;0108;12132;;;MO;;;;;AT;;;;
D011200064;17115;09276;;;31/01/2012;2310;4;D;;03;901;;;00000000000000010;0100;CT;67;0108;09276;17115;;SI;;;;;AT;;;;
D011200082;14804;;259;;19/01/2012;0411;4;D;;04;426;;;10000000000000000;0200;JD;63;0110;14804;;CMG1314;AU;;;;;AT;;;;
D011200093;19764;;;NC;03/01/2012;0025;2;D;;05;42;;;10000000000000000;0100;VM;17;0112;19764;;EQY8527;AU;;;;;CH;;;;
D011200101;19764;;;SBVD CONDESSA;17/01/2012;1700;2;D;;05;314;;;11000000000000000;0100;VM;17;0113;35614;;DTB8041;AU;DOU5367;MO;;;CO;;;;
D011200117;06642;;3728;;21/01/2012;1430;4;D;;06;339;;;01000000000000000;0200;CT;09;0114;06642;;;MO;;;;;AT;;;;
D011200316;19764;;;SBR CUBATAO;12/01/2012;1630;2;D;;36;378;;;11000000000000000;0200;VM;17;0211;19764;;;AU;EXG2202;MO;;;CL;;;;
D011200318;19764;;;PXVD TUTOIA;19/01/2012;1930;2;D;;36;627;;;12000000000100000;0100;VM;17;0212;19764;;DXI5085;MO;EJO9063;MO;AQP4306;AU;CT;;;;
D011200575;16744;;;NC;01/01/2012;0046;2;D;;46;250;;;20000000000000000;0100;CT;01;0325;16744;;;AU;DKG7416;AU;;;CO;;;;
D011200589;01429;;17000;;22/01/2012;0358;2;D;;46;622;;;10000000000000000;0100;RV;73;0326;01429;;DWG0861;AU;;;;;CH;;;;
D011200669;13014;;17000;;20/01/2012;1800;2;D;;89;517;;;01000000000000000;0100;PB;40;0336;13014;;EOI2632;MO;;;;;QM;;;;
D021200005;15984;;;NC;04/02/2012;0930;4;D;;01;1046;;;01000000000000000;0100;CT;01;0101;15984;;DEP0233;MO;;;;;AT;;;;
D021200006;17226;19543;;;04/02/2012;1100;2;D;;01;1048;;;10000001000000000;0300;CT;80;0101;17226;19543;EPI0487;AU;EFV8268;OU;;;CO;;;;
D021200007;06642;;3965;;06/02/2012;0630;2;D;;01;1059;;;11000000000000000;0100;CT;09;0101;06642;;DWU9406;MO;CRL8806;AU;;;SI;;;;
D021200010;19745;;;NC;07/02/2012;1127;2;D;;01;1135;;;00001000000000000;0100;CT;80;0101;19745;;;BI;;;;;QM;;;;
D021200012;13317;;10;;19/02/2012;0035;4;D;;01;1153;;;00000000000000010;0100;CT;17;0102;13317;;;SI;;;;;AT;;;;
D021200016;19745;;316;;11/02/2012;1307;4;D;;01;1296;;;10000000000000000;0100;CT;80;0102;19745;;;AU;;;;;AT;;;;
D021200020;05520;;100;;13/02/2012;1850;4;D;;01;1367;;;01000000000000000;0100;CT;01;0102;05520;;EXB1559;MO;;;;;AT;;;;
D021200023;19764;;151;;16/02/2012;1510;4;D;;01;1501;;;10000000000000000;0100;VM;17;0102;19764;;DOL8262;AU;;;;;AT;;;;
D021200027;23087;;100;;22/02/2012;1345;2;D;;01;1648;;;10000000000000000;0100;CT;06;0103;23087;;EJD4145;AU;;;;;CH;;;;
D021200028;17545;;100;;22/02/2012;1701;4;D;;01;1657;;;00000001000000000;0100;CT;01;0103;17545;;DTB7550;OU;;;;;AT;;;;
D021200031;19764;;40;;27/02/2012;1930;2;D;;01;1836;;;11000000000000000;0100;VM;17;0103;19764;;DUP3410;AU;;MO;;;CO;;;;
D021200040;06642;13853;;;11/02/2012;1940;4;D;;01;987;;;01000000000000000;0100;CT;80;0104;06642;13853;EJN2515;MO;;;;;AT;;;;
D021200041;06642;;3550;;11/02/2012;2014;4;D;;01;991;;;10000000000000000;0100;CT;09;0104;06642;;EBZ3248;AU;;;;;AT;;;;
D021200064;00700;;;PXPOUPATEMPO;10/02/2012;2055;2;D;;03;1168;;;10000000000000000;0100;CT;67;0107;00700;;EZF4687;AU;;;;;CH;;;;
D021200066;05380;;87;;27/02/2012;1247;4;D;;03;1404;;;01000000000000000;0100;CT;67;0107;05380;;EOZ3507;MO;;;;;AT;;;;
D021200067;16593;;454;;28/02/2012;0920;2;D;;03;1422;;;11000000000000000;0100;CT;09;0107;16593;;EBZ9931;AU;EHF6995;MO;;;CT;;;;
D021200070;16861;;;NC;02/02/2012;1312;2;D;;03;801;;;10001000000000000;0100;CT;07;0107;16861;;;AU;;BI;;;CO;;;;
D021200074;16593;;450;;04/02/2012;0322;2;D;;03;982;B;;20000000000000000;0100;CT;09;0108;16593;;EKQ6733;AU;CLL3904;AU;;;CT;;;;
D021200075;14804;;32;;09/02/2012;0910;2;D;;03;996;B;;21000000000000000;0100;JD;63;0108;14804;;EXF5236;MO;EMM9356;AU;DES6325;AU;CO;;;;
D021200105;19764;;;PXHOSP B PORTU;27/02/2012;1715;2;D;;05;1154;;;02000000000000000;0200;VM;17;0112;19764;;DYX0181;MO;CSU0992;MO;;;QM;;;;
D021200108;19764;;;PXVD JACEGUAI;29/02/2012;1127;2;D;;05;1206;;;01000000000100000;0100;VM;17;0112;19764;;CZZ3566;CM;DLW4311;MO;;;CT;;;;
D021200109;14810;;;NC;17/02/2012;2049;2;D;;05;1232;C;;11000000000000000;0100;CT;67;0112;14810;;EZC1647;AU;DZS8249;MO;;;CT;;;;
D021200713;16878;;17000;;15/02/2012;0810;2;D;;75;528;;;01000000000100000;0100;RV;13;0334;16878;;EDM3427;CM;DJW1627;MO;;;CO;;;;
D021200857;14270;;17000;;15/02/2012;2119;2;D;;19;1615;;;10001000000000000;0100;TT;00;0407;29772;;DNI2063;AU;;BI;;;CO;;;;
D021201959;06642;;3350;;22/02/2012;1340;2;D;;01;544;;;01010000000000000;0101;CT;09;0006;06642;;EQP7376;MO;DBB0913;CA;;;CL;;;;
D031200008;01521;09758;;;12/03/2012;0430;2;D;;01;1689;;;10000000000000000;0100;CT;67;0101;01521;09758;EZI7587;AU;;;;;CH;;;;
D031200009;19764;;100;;17/03/2012;2120;2;D;;01;1819;;;01000000000100000;0100;VM;17;0101;19764;;ELE3328;CM;EXK5027;MO;;;CL;;;;
D031200010;19764;;;PXAV RADIAL LES;18/03/2012;0950;2;D;;01;1826;;;10000000000000000;0100;VM;17;0101;19764;;EEM2647;AU;;;;;CH;;;;
D031200011;16725;19745;;;19/03/2012;0355;2;D;;01;1847;;;10001000000000000;0100;VM;80;0101;16725;19745;EZL0407;AU;;BI;;;CO;;;;
D031200014;15635;12165;;;24/03/2012;0240;2;D;;01;1976;;;10000000000000000;0100;CT;80;0102;02398;12165;EDM6761;AU;;;;;CH;;;;
D031200019;06642;;3500;;29/03/2012;0130;2;D;;01;2119;;;00000000000100000;0100;CT;09;0102;06642;;ENL8631;CM;;;;;CH;;;;
D031200023;06642;;3350;;10/03/2012;0700;2;D;;01;2257;;;11000000000000000;0200;CT;09;0102;06642;;CYJ7325;AU;EKJ3189;MO;;;CT;;;;
D031200028;06642;;3100;;20/03/2012;1445;4;D;;01;2604;;;01000000000000000;0100;CT;09;0104;06642;;;MO;;;;;AT;;;;
D031200029;19745;;100;;23/03/2012;1540;4;D;;01;2759;;;00000000000100000;0100;CT;80;0104;19745;;EZL4992;CM;;;;;AT;;;;
D031200035;19764;;;PXVD PEDROSO;27/03/2012;1740;2;D;;01;3687;;;11000000000000000;0100;VM;17;0104;19764;;;AU;LDD4949;MO;;;CO;;;;
D031200058;16593;;;NC;26/03/2012;1830;2;D;;02;2059;;;02000000000000000;0300;CT;09;0106;16593;;EXF9343;MO;DOI0063;MO;;;CO;;;;
D031200068;10101;09276;;;04/03/2012;0540;4;D;;03;1772;;;10000000000000000;0100;CT;67;0108;09276;10101;;AU;;;;;AT;;;;
D031200069;16725;;640;;15/03/2012;1800;4;D;;03;1939;;;01000000000000000;0100;CT;09;0108;16725;;DAB3309;MO;;;;;AT;;;;
D031200070;17633;15323;;;16/03/2012;1100;2;D;;03;1958;;;01000000000000000;0100;CT;67;0108;15323;17633;EQP3785;MO;;;;;QM;;;;
D031200071;16593;;120;;19/03/2012;2014;2;D;;03;2042;B;;01000000000000000;0100;CT;09;0108;16593;;ESG7581;MO;;;;;QM;;;;
D031200072;15323;;407;;20/03/2012;0937;2;D;;03;2056;B;;00000002000000000;0100;CT;05;0108;15323;;ELW8538;OU;DTE0247;OU;;;CH;;;;
D031200077;12132;05245;;;21/03/2012;0120;2;D;;03;2221;;;11000000000000000;0100;HG;67;0109;05245;19996;EQS5650;MO;FEH8118;AU;;;CO;;;;
D031200085;09276;;1248;;30/03/2012;1019;4;D;;03;2380;;;00000000000100000;0100;CT;67;0110;09276;;GEF0074;CM;;;;;AT;;;;
D031200102;05245;;;PXCEMITERIO;28/03/2012;1030;2;D;;04;2484;C;;02000000000000000;0100;SI;26;0112;05245;;DZS4066;MO;EQE8588;MO;;;QM;;;;
D031200109;12165;;;NC;10/03/2012;1035;4;D;;05;1429;B;;00000001000000000;0100;SI;07;0113;12165;;DTC3074;OU;;;;;AT;;;;
D031200111;12165;;;PXHOSP DA MULHE;15/03/2012;2130;4;D;;05;1586;;;01000000000000000;0200;SI;07;0113;12165;;EII1566;MO;;;;;AT;;;;
D031200113;19764;;;PXVD CDSSA S JO;20/03/2012;1057;2;D;;05;1635;;;11000000000000000;0100;VM;17;0113;35614;;DYZ3140;MO;EES8495;AU;;;CT;;;;
D031200121;12165;;;NC;19/03/2012;2215;2;D;;05;2086;;;11000000000000000;0100;SI;07;0114;12165;;EHS3323;MO;;AU;;;CO;;;;
D031200404;19764;;;PXPARAISO;15/03/2012;2240;2;D;;36;1381;B;;01000000000000000;0100;VM;17;0218;19764;;DWU9638;MO;;;;;QM;;;;
D031200418;19764;;;PXVD TUTOIA;10/03/2012;1310;2;D;;36;754;;;01010000000000000;0100;VM;17;0219;19764;;EVL2729;CA;DZP0454;MO;;;CH;;;;
D031200421;19764;;;PXVD STA GENERO;20/03/2012;1643;2;D;;36;855;;;20000000000000000;0100;VM;17;0219;43106;;EEG6858;AU;EQZ2816;AU;;;CO;;;;
D031201608;06238;;17000;;07/03/2012;0913;2;D;;11;972;;;02000000000000000;0200;PB;90;0601;13014;;AZQ3240;MO;DZQ3240;MO;;;SI;;;;
D031202342;13853;06642;;;04/03/2012;0015;2;D;;08;1457;;;20000000000000000;0301;TT;80;0004;06642;13853;DJP4129;AU;ERK6388;AU;;;CV;;;;
D041200001;05111;;1;;01/04/2012;1716;4;D;;01;2210;C;;01000000000000000;0100;CT;80;0001;05111;;DZL4231;MO;;;;;AT;;;;
D041200003;15984;;80;;06/04/2012;0059;4;D;;01;2333;;;00000000000000010;0100;CT;01;0001;15984;;;SI;;;;;AT;;;;
D041200004;15984;;;PXR LOUSADA;10/04/2012;1855;4;D;;01;2467;;;10000000000000000;0100;CT;01;0001;15984;;EQH7247;AU;;;;;AT;;;;
D041200005;06642;;3000;;19/04/2012;1920;4;D;;01;2680;;;10000000000000000;0100;CT;09;0001;06642;;FAL1550;AU;;;;;AT;;;;
D041200006;10376;;;NC;02/04/2012;0845;4;D;;01;3042;;;10000000000000000;0100;CT;80;0001;10376;;FBX3474;AU;;;;;AT;;;;
D041200009;17545;;10;;17/04/2012;1230;4;D;;01;3597;;;10000000000000000;0100;CT;01;0001;17545;;EHX8924;AU;;;;;AT;;;;
D041200010;13317;;136;;19/04/2012;1848;4;D;;01;3711;;;01000000000000000;0100;CT;17;0001;13317;;DTN6788;MO;;;;;AT;;;;
D041200020;19996;;125;;02/04/2012;1915;4;D;;03;2571;;;00000001000000000;0100;CT;00;0001;19996;;EZL9973;OU;;;;;AT;;;;
D041200022;10101;09276;;;19/04/2012;0930;4;D;;03;2911;;;01000000000000000;0100;CT;67;0001;09276;10101;DXM2913;MO;;;;;AT;;;;
D041200024;17000;09276;;;18/04/2012;2120;4;D;;03;3063;;;00000001000000000;0100;CT;67;0001;09276;17000;EZL5866;OU;;;;;AT;;;;
D041200106;19764;;;ACVD GAL MARCON;27/04/2012;1115;4;D;;36;1328;;;10000000000000000;0100;VM;17;0001;19764;;AEC8088;AU;;;;;AT;;;;
D041200579;19764;;151;;28/04/2012;2259;4;D;;08;2875;C;;01000000000000000;0101;VM;17;0001;19764;;EXE3550;MO;;;;;AT;;;;
D041200597;01003;;200;;07/04/2012;2310;2;D;;01;2366;;;11000000000000000;0100;CT;67;0101;01003;;EMC6933;AU;CFV8696;MO;;;CO;;;;
D041200603;19764;;;PXVD DONA PAULI;11/04/2012;1142;2;D;;01;3379;;;10000000000000000;0100;VM;17;0102;19764;;FJC0025;AU;;;;;CH;;;;
D041200604;13317;;100;;11/04/2012;1610;2;D;;01;3389;;;11000000000000000;0100;CT;17;0102;13317;;DVE7251;MO;EQK0784;AU;;;CO;;;;
D041200606;16725;;600;;14/04/2012;0700;2;D;;01;3501;;;11000000000000000;0100;CT;09;0102;16725;;EJB6894;AU;DRY4587;MO;;;CO;;;;
D041200612;13317;;67;;27/04/2012;1453;2;D;;01;3995;;;11000000000000000;0100;CT;17;0103;13317;;;AU;EJP6140;MO;;;CO;;;;
D041200632;04541;;144;;02/04/2012;1700;2;D;;03;2463;;;11000000000000000;0100;CT;67;0107;04541;;EIS3548;AU;EKC8790;MO;;;CO;;;;
D041200633;99464;;;PXAV PRESTES MA;03/04/2012;0845;2;D;;03;2477;;;02000000000000000;0100;CT;67;0107;99464;;DPH2050;MO;DOB3161;MO;;;CO;;;;
D041200635;05245;12132;;;08/04/2012;1935;2;D;;03;2726;;;20000000000000000;0200;CT;67;0107;05245;19996;FUN0212;AU;CCZ9903;AU;;;CO;;;;
D041200636;19017;16725;;;25/04/2012;1145;2;D;;03;3095;;;11000000000000000;0100;CT;67;0108;16725;19017;DUD0614;AU;DYZ5393;MO;;;CL;;;;
D041200638;16593;;315;;27/04/2012;1313;2;D;;03;3142;;;10000000000100000;0100;CT;09;0108;16593;;DSZ7239;AU;DMR3271;CM;;;CO;;;;
D041200639;07281;;20;;13/04/2012;2230;2;D;;03;3334;;;00000000000100000;0100;CT;67;0108;07281;;HLC6532;CM;;;;;CH;;;;
D041200655;19764;;;SBVD BENEFICIEN;03/04/2012;1853;2;D;;05;1979;;;11000000000000000;0200;VM;17;0112;19764;;DZD1455;AU;DZQ6631;MO;;;CT;;;;
D041200658;19764;;;PXVD CONDESSA;05/04/2012;1500;2;D;;05;2032;B;;11000000000000000;0100;VM;17;0112;61292;;EUX1275;AU;DZL8284;MO;;;CO;;;;
D041200662;19764;;;NC;20/04/2012;1850;2;D;;05;2328;;;21000000000000000;0100;VM;17;0113;19764;;EQB2766;AU;EQE3796;MO;MLX0105;AU;CT;;;;
D041200664;19764;;;PXVD CDSSA DE S;27/04/2012;0819;2;D;;05;2451;;;11000000000100000;0200;VM;17;0113;35614;;ENV3758;AU;EUN8406;CM;BPS5158;MO;CO;;;;
D041200765;14804;;;NC;19/04/2012;1500;2;D;;78;3314;;;00000000000200000;0100;SI;63;0130;14804;;FFR1405;CM;EBN0822;CM;;;CO;;;;
D041200851;19764;;210;;17/04/2012;0900;2;D;;36;1439;;;01000000000000000;0100;VM;17;0212;19764;;DAC4306;MO;;;;;QM;;;;
D041200854;19764;;;NC;05/04/2012;1740;2;D;;36;2326;;;11000000000000000;0100;VM;17;0213;19764;;EKO6851;AU;EJN6307;MO;;;CO;;;;
D041200631;19996;;;NC;03/04/2012;1100;2;D;;03;1523;;;11000000000000000;0100;CT;;0107;19996;;FER2327;AU;EXC0775;MO;;;CO;;;;
D051200002;19764;;100;;07/05/2012;0725;4;D;;01;4259;;;01000000000000000;0100;VM;17;0101;19764;;;MO;;;;;AT;;;;
D051200006;15984;;;NC;12/05/2012;1750;4;D;;01;3195;;;00000000000000010;0100;CT;01;0101;15984;;;SI;;;;;AT;;;;
D051200012;13853;12215;;;05/05/2012;0250;2;D;;01;3002;;;10010000000000000;0100;CT;80;0102;06642;13853;EBW9508;AU;DIP9529;CA;;;CO;;;;
D051200015;19764;;;PXR JOSE BONIFA;12/05/2012;2335;2;D;;01;3197;B;;01000000000000000;0200;VM;17;0102;19764;;DZN4796;MO;;;;;QM;;;;
D051200016;16744;17025;;;14/05/2012;2154;4;D;;01;3251;;;10000000000000000;0100;VM;80;0102;16744;17025;ELQ4201;AU;;;;;AT;;;;
D051200020;01454;18556;;;27/05/2012;2230;2;D;;01;3614;;;10000000000100000;0300;IP;80;0104;07664;10376;EXS3408;CM;DXB5470;AU;;;SI;;;;
D051200035;13853;;994;;14/05/2012;1111;2;D;;01;4507;;;01000000000100000;0100;CT;09;0105;13853;;EYF2043;CM;BPS0532;MO;;;CT;;;;
D051200036;16725;07204;;;15/05/2012;0530;4;D;;01;4526;;;01000000000000000;0100;CT;80;0105;07204;16725;FAL6789;MO;;;;;AT;;;;
D051200040;19764;;100;;17/05/2012;1505;4;D;;01;4616;;;01000000000000000;0200;VM;17;0105;19764;;DYY3021;MO;;;;;AT;;;;
D051200041;11824;;190;;19/05/2012;1700;4;D;;01;4673;;;10000000000000000;0100;CT;80;0106;11824;;CTI7401;AU;;;;;AT;;;;
D051200043;19764;;;PXR CDSSA S JOA;12/05/2012;1300;2;D;;01;4792;;;11000000000000000;0100;VM;17;0106;19764;;DHU9077;AU;DKJ7683;MO;;;CO;;;;
D051200046;10376;;42;;24/05/2012;1250;2;D;;01;4818;;;11000000000000000;0100;CT;80;0106;10376;;EGO8042;AU;DZQ0202;MO;;;CO;;;;
