CADLOG;ID_ACIDENT;CADLOGA;CADLOGB;ALT_NUM;REFERENCIA;DATA;HORA;COD_ACID;FONTE;VIATURA;DP;TALAO;SENTIDO;PISTA;VEICULOS;VITIMAS;DEC;DISTRITO;FOLHA;PRINC_A;PRINC_B;PLACA1;TIPO_PLAC1;PLACA2;TIPO_PLAC2;PLACA3;TIPO_PLAC3;TIPO_ACIDE;FLAG_DUPL;NV_DUPL;DUPLACAS;GEOCOD
10 09758;D011300005;09758;;10;;13/01/2013;1044;4;D;;01;309;C;;10000000000000000;0100;CN3;67;0101;09758;;EME3911;AU;;;;;AT;;;;
06642&&13853;D011300006;06642;13853;;;13/01/2013;1245;2;D;;01;316;;;10000000000100000;0300;CN3;80;0101;06642;13853;FFG0699;CM;CAE5689;AU;;;CO;;;;
3000 06642;D011300011;06642;;3000;;18/01/2013;1810;4;D;;01;491;;;00000000000000010;0100;CN3;09;0102;06642;;;SI;;;;;AT;;;;
5 06136;D011300012;06136;;;FTAO SHOPPING;18/01/2013;1400;4;D;;01;492;;;00000000000100000;0100;CN3;80;0102;06136;;DYF1075;CM;;;;;AT;;;;
140 10376;D011300014;10376;;140;;22/01/2013;2221;4;D;;01;580;;;00000001000000000;0200;CN3;80;0102;10376;;CZZ5471;OU;;;;;AT;;;;
100 15635;D011300015;15635;;100;;23/01/2013;1310;2;D;;01;605;;;10000001000000000;0100;CN3;80;0102;15635;;DTD0577;OU;EEM4014;AU;;;CO;;;;
5 02795;D011300016;02795;;;PXTERMINAL BAND;23/01/2013;1740;2;D;;01;617;;;00100000000000000;0100;CN3;67;0102;02795;;EZL5865;ON;;;;;QD;;;;
268 16725;D011300018;16725;;268;;26/01/2013;0800;4;D;;01;676;;;10000000000000000;0100;CN3;09;0102;16725;;EFY9230;AU;;;;;AT;;;;
13317&&07853;D011300021;13317;07853;;;31/01/2013;2122;2;D;;01;806;;;10001000000000000;0200;CN3;67;0102;07853;13317;DFM0968;AU;;BI;;;CO;;;;
20 15323;D011300043;15323;;20;;11/01/2013;1834;4;D;;03;320;;;01000000000000000;0100;CN3;05;0105;15323;;EII8133;MO;;;;;AT;;;;
09276&&10101;D011300044;09276;10101;;;11/01/2013;2018;4;D;;03;321;;;00000001000000000;0100;CN3;67;0105;09276;10101;EZL9810;OU;;;;;AT;;;;
925 09276;D011300045;09276;;925;;20/01/2013;1450;2;D;;03;372;;;01001000000000000;0200;CN3;67;0105;09276;;EJO4985;MO;;BI;;;CO;;;;
5 16593;D011300046;16593;;;PXSEN QUEIROS;14/01/2013;1929;2;D;;03;389;;;11000000000000000;0100;CN3;09;0105;16593;;EXC9974;AU;EPM8664;MO;;;SI;;;;
16725&&07204;D011300047;16725;07204;;;21/01/2013;0740;4;D;;03;527;;;00000000000100000;0100;CN3;80;0105;07204;16725;EVM6747;CM;;;;;AT;;;;
786 09276;D011300049;09276;;786;;18/01/2013;2056;2;D;;03;535;;;10001000000000000;0100;CN3;67;0105;09276;;DTE4258;AU;;BI;;;CO;;;;
23 19996;D011300053;19996;;23;;31/01/2013;1440;4;D;;03;945;;;01000000000000000;0100;CN3;00;0106;19996;;CWY4502;MO;;;;;AT;;;;
5 14804;D011300063;14804;;;NC;10/01/2013;0800;2;D;;04;224;;;11000000000000000;0100;SI;63;0107;14804;;ESR3789;MO;;AU;;;CO;;;;
120 05245;D011300064;05245;;120;;12/01/2013;0045;2;D;;04;282;;;21000000000000000;0100;CN3;26;0108;05245;;EXH2619;MO;DYH8143;AU;EBS1278;AU;CO;;;;
05245&&12132;D011300072;05245;12132;;;18/01/2013;0750;2;D;;04;446;;;11000000000000000;0100;CN3;67;0108;05245;19996;EQS8928;MO;EQC6717;AU;;;CO;;;;
5 19764;D011300092;19764;;;NC;24/01/2013;1900;2;D;;05;745;;;11000000000000000;0100;SI;17;0111;19764;;FGR8225;AU;DGS3658;MO;;;CL;;;;
5 19764;D011300094;19764;;;SBVD CDSSA S JO;18/01/2013;1450;2;D;;05;357;;;01000000000000000;0100;SU2;17;0111;19764;;EJP1843;MO;;;;;QM;;;;
04342&&02561;D021300001;04342;02561;;;15/02/2013;1204;4;D;;01;273;;;00000000000100000;0100;CN3;80;0101;02561;04342;FEW9601;CM;;;;;AT;;;;
06136&&16725;D021300003;06136;16725;;;02/02/2013;0911;2;D;;01;623;;;11000000000000000;0200;CN3;80;0101;06136;16725;EPL6405;AU;DZO3840;MO;;;CO;;;;
402 16725;D021300007;16725;;402;;01/02/2013;0450;4;D;;01;836;;;00000001000000000;0100;CN3;09;0101;16725;;EZL1366;OU;;;;;AT;;;;
232 19764;D021300010;19764;;232;;02/02/2013;2345;2;D;;01;861;;;01010000000000000;0100;CN3;17;0102;19764;;EQP3734;MO;CTC0138;CA;;;CT;;;;
5 10376;D021300011;10376;;;FTFORUM CIVIL;05/02/2013;1045;4;D;;01;972;;;01000000000000000;0100;CN3;80;0102;10376;;;MO;;;;;AT;;;;
3001 06642;D021300014;06642;;3001;;09/02/2013;0600;2;D;;01;1101;;;20000000000000000;0100;CN3;09;0102;06642;;BXK0277;AU;DBQ1943;AU;;;SI;;;;
18556&&01454;D021300016;18556;01454;;;13/02/2013;1400;4;D;;01;1184;;;10000000000000000;0100;CN3;80;0103;07664;10376;FCB3128;AU;;;;;AT;;;;
2 19543;D021300017;19543;;2;;14/02/2013;1405;4;D;;01;1226;;;00000001000000000;0100;CN3;01;0103;03385;;ELW2970;OU;;;;;AT;;;;
5 10376;D021300019;10376;;;FTFORUM CIVIL;26/02/2013;0840;4;D;;01;1248;;;10000000000000000;0100;CN3;80;0103;10376;;DRO9052;AU;;;;;AT;;;;
64 03209;D021300021;03209;;64;;19/02/2013;1949;4;D;;01;1287;;;10000000000000000;0100;CN3;80;0103;03209;;DPX0538;AU;;;;;AT;;;;
13853&&04146;D021300022;13853;04146;;;21/02/2013;1235;2;D;;01;1455;;;11000000000000000;0100;CN3;80;0103;04146;16725;CTN9786;MO;DXA5695;AU;;;CO;;;;
06642&&15984;D021300024;06642;15984;;;23/02/2013;1115;2;D;;01;1506;;;11000000000000000;0100;CN3;80;0103;06642;15984;DFC2515;MO;DTZ0041;AU;;;SI;;;;
5 19764;D021300025;19764;;;ACNOVE DE JUNHO;23/02/2013;1500;2;D;;01;1518;;;11000000000000000;0200;CN3;17;0103;19764;;DYS2917;MO;ETZ0222;AU;;;SI;;;;
