RUA;FROMLEFT;TOLEFT;FROMRIGHT;TORIGHT;CODLOG;BAIRRO
R. ABELARDO PINTO;1;85;2;86;000388;REPUBLICA
R. COM. AFONSO KHERLAKIAN;61;141;62;140;002755;SE
PR. ALFREDO ISSA;0;0;0;0;007005;REPUBLICA
R. ALVARES PENTEADO;1;67;2;68;008664;SE
R. ALVARO DE CARVALHO;85;281;84;282;008800;REPUBLICA
R. DO BOTICARIO;1;159;2;160;009512;REPUBLICA
R. STO. AMARO;117;197;116;196;010030;REPUBLICA
R. PROF. EURIPEDES SIMOES DE PAULA;1;39;2;40;010847;BRAS
R. ANCHIETA;1;59;2;58;012424;SE
R. DOS ANDRADAS;1;83;2;82;012670;REPUBLICA
PQ. ANHANGABAU;219;309;218;310;014249;REPUBLICA
R. ANITA GARIBALDI;119;207;118;208;014540;SE
R. STO. ANTONIO;1121;1275;1120;1556;015210;REPUBLICA
R. ANTONIO DE GODOI;9;149;10;150;016675;REPUBLICA
PR. ANTONIO PRADO;1;59;2;60;018384;SE
R. ASDRUBAL DO NASCIMENTO;203;279;202;278;023981;REPUBLICA
R. COM. ASSAD ABDALLA;57;195;58;194;024040;SE
R. AUGUSTO SEVERO;1;161;2;160;025615;SE
R. BASILIO DA GAMA;1;107;2;106;029475;REPUBLICA
R. CAV. BASILIO JAFET;161;223;162;222;029505;SE
R. CEL. BATISTA DA LUZ;1;97;2;96;029742;REPUBLICA
R. BENEFICENCIA PORTUGUESA;1;109;2;110;031780;REPUBLICA
R. BENJAMIM CONSTANT;1;129;2;130;031895;SE
LGO. S. BENTO;109;163;110;162;032093;SE
R. S. BENTO;135;165;136;164;032107;SE
R. DR. BITTENCOURT RODRIGUES;151;175;150;174;033871;SE
R. BOA VISTA;99;227;98;226;034037;SE
R. DR. BRAULIO GOMES;153;201;152;200;036242;REPUBLICA
LGO. DO CAFE;1;21;2;20;038423;SE
R. DA CANTAREIRA;1;93;2;92;041467;SE
R. CARLOS DE SOUSA NAZARE;1;165;2;164;043427;SE
R. CARLOS GARCIA;91;139;92;140;043630;BRAS
R. GEN. CARNEIRO;93;241;92;240;044695;SE
AV. CASPER LIBERO;145;203;144;202;045411;REPUBLICA
VIAD. DO CHA;1;63;2;64;048313;SE
PR. CLOVIS BEVILAQUA;201;305;202;306;051110;SE
R. DO COMERCIO;1;83;2;84;052000;SE
R. DA CONSOLACAO;0;0;0;100;052450;REPUBLICA
LAD. CONSTITUICAO;1;91;2;90;052612;SE
PR. DO CORREIO;1;61;2;62;053805;REPUBLICA
PR. GEN. CRAVEIRO LOPES;1;11;2;12;054666;REPUBLICA
R. CONS. CRISPINIANO;1;141;2;140;054950;REPUBLICA
R. CRISTOVAO COLOMBO;21;77;22;76;055204;SE
R. DIREITA;1;175;2;176;059447;SE
R. BR. DE DUPRAT;1;169;2;168;061360;SE
LGO. STA. IFIGENIA;69;83;68;84;062847;REPUBLICA
R. STA. IFIGENIA;1;145;2;146;062855;REPUBLICA
VIAD. STA. IFIGENIA;1;335;2;334;062863;REPUBLICA
AV. DO ESTADO;0;0;3494;3586;066427;SE
R. DR. FALCAO FILHO;1;201;2;202;068896;SE
R. SEN. FEIJO;141;223;140;222;069337;SE
R. FILIPE DE OLIVEIRA;63;161;62;162;069671;SE
PR. FERNANDO COSTA;261;321;260;322;070246;SE
R. FERNAO SALES;1;81;2;240;070700;SE
R. FLORENCIO DE ABREU;505;607;506;606;072044;SE
R. FLORIANO PEIXOTO;1;49;2;48;072281;SE
R. FORMOSA;341;477;342;476;072818;REPUBLICA
LGO. S. FRANCISCO;135;265;136;264;073350;SE
R. S. FRANCISCO;55;127;56;128;073369;SE
R. D. FRANCISCO DE SOUSA;1;247;2;246;074187;REPUBLICA
R. FREDERICO ALVARENGA;1;63;2;62;076104;SE
R. GABUS MENDES;1;65;2;64;076694;REPUBLICA
R. GENEBRA;239;319;240;318;078530;REPUBLICA
TR. GRASSI;1;73;2;74;081914;REPUBLICA
R. HERCULES FLORENCE;1;69;2;288;087343;SE
AV. IPIRANGA;487;587;486;586;092762;REPUBLICA
R. BR. DE ITAPETININGA;187;319;186;318;095435;REPUBLICA
R. DR. ITAPURA DE MIRANDA;1;103;2;104;095753;SE
VIAD. JACAREI;159;279;160;280;097586;REPUBLICA
R. CAP.MOR JERONIMO LEITAO;1;141;2;142;100609;REPUBLICA
AV. S. JOAO;201;381;202;382;101010;REPUBLICA
R. JOAO ADOLFO;1;87;2;86;101184;REPUBLICA
R. JOAO BRICOLA;1;87;2;88;101842;SE
PR. DR. JOAO MENDES;509;559;508;558;103764;SE
R. JORGE AZEM;73;145;74;144;106674;SE
R. JOSE BONIFACIO;275;349;274;350;108138;SE
R. D. JOSE DE BARROS;1;135;2;136;108901;REPUBLICA
