Estação n°;Nome;Endereço;Bairro;Inauguração;BU
1;Instituto Biológico;Rua Morgado de Mateus, em frente ao número 652;Vila Mariana;24/05/12;não
2;Cinemateca;Largo Senador Raul Cardoso em frente à Cinemateca - Portaria 1;Vila Mariana;24/05/12;não
3;Rua Capitão Macedo;Rua Capitão Macedo em frente ao número 287 / Esquina com a rua Cubatão;Vila Mariana;24/05/12;não
4;Belas Artes;Rua Dr. Álvaro Alvim em frente à Faculdade Belas Artes, número 76;Vila Mariana;24/05/12;não
5;Metrô Vila Mariana;Rua Madre Cabrini, em frente ao número 206;Vila Mariana;24/05/12;não
6;Rua Rio Grande;Rua Rio Grande, em frente ao número 290;Vila Mariana;24/05/12;não
7;Humberto I;Rua Humberto I, em frente ao número 745;Vila Mariana;24/05/12;não
8;Metrô Ana Rosa;Rua Ambrosina de Macedo, em frente ao número 44;Vila Mariana;24/05/12;não
9; Sesc Vila Mariana;Rua Pelotas, em frente ao Shopping Vila Mariana;Vila Mariana;24/05/12;não
10;Rua Eça de Queiroz;Rua Eça de Queiroz, em frente ao número 187;Vila Mariana;24/05/12;não
11;Rua Cubatão;Rua Afonso de Freitas, em frente ao nº 239 / Esquina com a Rua Cubatão;Paraíso;22/08/12;não
12;Viaduto Tutóia;Praça Santíssimo Sacramento / Esquina com a Rua Tutóia;Paraíso;18/08/12;não
14;Itaú Cultural;Rua Leôncio de Carvalho, próximo à guia do número 98 / Esquina com a Alameda Santos;Paraíso;11/08/12;não
15;Metrô Brigadeiro;Alameda Santos, oposto ao número 333 / Esquina com a Rua Maria Figueiredo;Paraíso;11/08/12;não
16;Alameda J. Eugênio de Lima;Rua José Maria Lisboa, próximo ao número 266 / Esquina com a Alameda J. Eugenio de Lima;Jardim Paulista;11/08/12;não
17;Alameda Jaú;Alameda Jaú, em frente ao número 555 /Frente à Rua Marília;Jardim Paulista;11/08/12;não
18;Ginásio do Ibirapuera;Rua Manoel da Nóbrega, em frente ao número 1240;Paraíso;18/08/12;não
19;Parque Ibirapuera - Portão 09;Rua Artur Etzel, em frente à Praça Pastor Rubens Lopes / Esquina com a Rua Manoel da Nóbrega;Paraíso;18/08/12;não
