Nome_Compl;codlog;codlog5;FromLeft;ToLeft;FromRight;ToRight;tipo;titulo;preposicao;nome;codseg;classif4;GETs;DETs; ID_1 ; ID_2 ;Via_ou_Eix;Trecho_Iní;Trecho_Fim;Sentido; Extensão_E ;Horário;Região;Início_Ope
AV MORVAN DIAS DE FIGUEIREDO;142700;14270;0;0;0;0;AV;;;MORVAN DIAS DE FIGUEIREDO;SG142700005;Arterial I;MB;TT; 400 ; 1 ;Av. Morvan Dias de Figueiredo (Marginal Tietê);Ponte Aricanduva;Ponte das Bandeiras;Castelo Branco; 4.90 ;2ª a 6ª das 06-09h;Norte;2013.06.17
AV MORVAN DIAS DE FIGUEIREDO;142700;14270;1809;1809;0;0;AV;;;MORVAN DIAS DE FIGUEIREDO;SG142700006;Arterial I;MB;TT; 400 ; 1 ;Av. Morvan Dias de Figueiredo (Marginal Tietê);Ponte Aricanduva;Ponte das Bandeiras;Castelo Branco; 4.90 ;2ª a 6ª das 06-09h;Norte;2013.06.17
AV MORVAN DIAS DE FIGUEIREDO;142700;14270;0;0;0;0;AV;;;MORVAN DIAS DE FIGUEIREDO;SG142700007;Arterial I;MB;TT; 400 ; 1 ;Av. Morvan Dias de Figueiredo (Marginal Tietê);Ponte Aricanduva;Ponte das Bandeiras;Castelo Branco; 4.90 ;2ª a 6ª das 06-09h;Norte;2013.06.17
AV MORVAN DIAS DE FIGUEIREDO;142700;14270;0;0;0;0;AV;;;MORVAN DIAS DE FIGUEIREDO;SG142700008;Arterial I;MB;TT; 400 ; 1 ;Av. Morvan Dias de Figueiredo (Marginal Tietê);Ponte Aricanduva;Ponte das Bandeiras;Castelo Branco; 4.90 ;2ª a 6ª das 06-09h;Norte;2013.06.17
AV MORVAN DIAS DE FIGUEIREDO;142700;14270;1709;1709;0;0;AV;;;MORVAN DIAS DE FIGUEIREDO;SG142700009;Arterial I;MB;TT; 400 ; 1 ;Av. Morvan Dias de Figueiredo (Marginal Tietê);Ponte Aricanduva;Ponte das Bandeiras;Castelo Branco; 4.90 ;2ª a 6ª das 06-09h;Norte;2013.06.17
AV MORVAN DIAS DE FIGUEIREDO;142700;14270;7035;7035;0;0;AV;;;MORVAN DIAS DE FIGUEIREDO;SG142700010;Arterial I;MB;TT; 400 ; 1 ;Av. Morvan Dias de Figueiredo (Marginal Tietê);Ponte Aricanduva;Ponte das Bandeiras;Castelo Branco; 4.90 ;2ª a 6ª das 06-09h;Norte;2013.06.17
AV MORVAN DIAS DE FIGUEIREDO;142700;14270;0;0;0;0;AV;;;MORVAN DIAS DE FIGUEIREDO;SG142700011;Arterial I;MB;TT; 400 ; 1 ;Av. Morvan Dias de Figueiredo (Marginal Tietê);Ponte Aricanduva;Ponte das Bandeiras;Castelo Branco; 4.90 ;2ª a 6ª das 06-09h;Norte;2013.06.17
AV MORVAN DIAS DE FIGUEIREDO;142700;14270;0;0;0;0;AV;;;MORVAN DIAS DE FIGUEIREDO;SG142700012;Arterial I;MB;TT; 400 ; 1 ;Av. Morvan Dias de Figueiredo (Marginal Tietê);Ponte Aricanduva;Ponte das Bandeiras;Castelo Branco; 4.90 ;2ª a 6ª das 06-09h;Norte;2013.06.17
AV MORVAN DIAS DE FIGUEIREDO;142700;14270;0;0;0;0;AV;;;MORVAN DIAS DE FIGUEIREDO;SG142700013;Arterial I;MB;TT; 400 ; 1 ;Av. Morvan Dias de Figueiredo (Marginal Tietê);Ponte Aricanduva;Ponte das Bandeiras;Castelo Branco; 4.90 ;2ª a 6ª das 06-09h;Norte;2013.06.17
AV MORVAN DIAS DE FIGUEIREDO;142700;14270;201;201;0;0;AV;;;MORVAN DIAS DE FIGUEIREDO;SG142700014;Arterial I;MB;TT; 400 ; 1 ;Av. Morvan Dias de Figueiredo (Marginal Tietê);Ponte Aricanduva;Ponte das Bandeiras;Castelo Branco; 4.90 ;2ª a 6ª das 06-09h;Norte;2013.06.17
