Nome_Compl;codlog;codlog5;FromLeft;ToLeft;FromRight;ToRight;tipo;titulo;preposicao;nome;codseg;classif4;gets;dets; ID ; ID_2 ;Via;Início;Fim;Sentido;Ext___Km_;Caracterís;horario
AV ALVARO RAMOS;009067;00906;1667;1671;1082;1266;AV;;;ALVARO RAMOS;SG009067008;Arterial II;SE;SE 1; 1 ; 1 ;Av. Álvaro Ramos;R. Serra da Bocaina;R. Serra de Jairé;bairro;1,1;Faixas Exclusivas no Contra-Fluxo;
AV ALVARO RAMOS;009067;00906;1673;1679;1304;1508;AV;;;ALVARO RAMOS;SG009067009;Arterial II;SE;SE 1; 1 ; 1 ;Av. Álvaro Ramos;R. Serra da Bocaina;R. Serra de Jairé;bairro;1,1;Faixas Exclusivas no Contra-Fluxo;
AV ALVARO RAMOS;009067;00906;1681;1683;1536;1582;AV;;;ALVARO RAMOS;SG009067010;Arterial II;SE;SE 1; 1 ; 1 ;Av. Álvaro Ramos;R. Serra da Bocaina;R. Serra de Jairé;bairro;1,1;Faixas Exclusivas no Contra-Fluxo;
AV ALVARO RAMOS;009067;00906;1683;1685;1612;1664;AV;;;ALVARO RAMOS;SG009067011;Arterial II;SE;SE 1; 1 ; 1 ;Av. Álvaro Ramos;R. Serra da Bocaina;R. Serra de Jairé;bairro;1,1;Faixas Exclusivas no Contra-Fluxo;
AV ALVARO RAMOS;009067;00906;1685;1699;1688;1698;AV;;;ALVARO RAMOS;SG009067012;Arterial II;SE;SE 1; 1 ; 1 ;Av. Álvaro Ramos;R. Serra da Bocaina;R. Serra de Jairé;bairro;1,1;Faixas Exclusivas no Contra-Fluxo;
AV ALVARO RAMOS;009067;00906;1717;1737;1700;1748;AV;;;ALVARO RAMOS;SG009067013;Arterial II;SE;SE 1; 1 ; 1 ;Av. Álvaro Ramos;R. Serra da Bocaina;R. Serra de Jairé;bairro;1,1;Faixas Exclusivas no Contra-Fluxo;
AV ALVARO RAMOS;009067;00906;1739;1823;1776;1808;AV;;;ALVARO RAMOS;SG009067014;Arterial II;SE;SE 1; 1 ; 1 ;Av. Álvaro Ramos;R. Serra da Bocaina;R. Serra de Jairé;bairro;1,1;Faixas Exclusivas no Contra-Fluxo;
AV ALVARO RAMOS;009067;00906;1849;1887;1884;1898;AV;;;ALVARO RAMOS;SG009067016;Arterial II;SE;SE 1; 1 ; 1 ;Av. Álvaro Ramos;R. Serra da Bocaina;R. Serra de Jairé;bairro;1,1;Faixas Exclusivas no Contra-Fluxo;
AV ALVARO RAMOS;009067;00906;1909;1933;1900;1952;AV;;;ALVARO RAMOS;SG009067017;Arterial II;SE;SE 1; 1 ; 1 ;Av. Álvaro Ramos;R. Serra da Bocaina;R. Serra de Jairé;bairro;1,1;Faixas Exclusivas no Contra-Fluxo;
AV ALVARO RAMOS;009067;00906;1935;2065;1976;2072;AV;;;ALVARO RAMOS;SG009067018;Arterial II;SE;SE 1; 1 ; 1 ;Av. Álvaro Ramos;R. Serra da Bocaina;R. Serra de Jairé;bairro;1,1;Faixas Exclusivas no Contra-Fluxo;
AV ALVARO RAMOS;009067;00906;1841;1847;1810;1854;AV;;;ALVARO RAMOS;SG009067015;Arterial II;SE;SE 1; 1 ; 1 ;Av. Álvaro Ramos;R. Serra da Bocaina;R. Serra de Jairé;bairro;1,1;Faixas Exclusivas no Contra-Fluxo;
AV ALVARO RAMOS;009067;00906;895;991;1014;1062;AV;;;ALVARO RAMOS;SG009067007;Arterial II;SE;SE 1; 1 ; 1 ;Av. Álvaro Ramos;R. Serra da Bocaina;R. Serra de Jairé;bairro;1,1;Faixas Exclusivas no Contra-Fluxo;
AV AMADOR BUENO DA VEIGA;009547;00954;73;143;48;150;AV;;;AMADOR BUENO DA VEIGA;SG009547038;Arterial II;LE;LE 1; 2 ; 2 ;Av. Amador Bueno da Veiga;R. Pedro Alegretti;R. Pe. João;centro;0,5;Faixas Exclusivas no Contra-Fluxo;
AV AMADOR BUENO DA VEIGA;009547;00954;195;195;172;200;AV;;;AMADOR BUENO DA VEIGA;SG009547039;Arterial II;LE;LE 1; 2 ; 2 ;Av. Amador Bueno da Veiga;R. Pedro Alegretti;R. Pe. João;centro;0,5;Faixas Exclusivas no Contra-Fluxo;
