Id Placa;Categoria;Município;Marca Veículo CET;Marca Veículo Denatran;Tipo Veículo Cet;Tipo Veículo Denatran;Cor Denatran;Ano Modelo;Tipo Registro;Espécie
1;1;7075;213;164018;6;6;116;2012;1;19
2;1;7107;213;164035;6;6;51;2012;1;19
3;1;7017;213;463819;8;7;108;2011;1;19
4;1;7181;1686;617803;59;10;116;2012;1;27
5;1;6545;27;203619;25;13;108;2012;1;35
6;1;6401;27;203619;25;13;108;2012;1;35
7;1;7107;27;203619;25;13;108;2012;1;35
8;1;7107;94;2710;4;4;43;2012;1;19
9;1;7107;329;161328;6;6;43;2013;1;19
10;1;7075;213;164018;6;6;116;2012;1;19
11;2;7233;213;243413;25;23;108;2012;1;27
12;1;7107;213;164031;6;6;108;2011;1;19
13;1;6689;213;164028;6;6;116;2013;1;19
14;1;6929;94;2844;4;4;159;2012;1;19
15;1;7107;35;220522;25;23;43;2013;1;27
16;1;7075;213;164028;6;6;116;2013;1;19
17;1;7107;213;164030;6;6;116;2011;1;19
18;1;7107;94;2009;4;3;19;2011;1;19
19;1;6137;94;2844;4;4;159;2012;1;19
20;1;6619;35;149560;6;6;108;2013;1;19
21;1;6789;35;149561;6;6;108;2013;1;19
22;1;7077;213;164028;6;6;51;2013;1;19
23;1;7107;213;164017;6;6;51;2012;1;19
24;1;7057;213;164017;6;6;159;2012;1;19
25;1;6921;213;164017;6;6;35;2012;1;19
26;1;7077;213;164030;6;6;116;2013;1;19
27;1;6377;213;164030;6;6;108;2012;1;19
28;1;7077;213;164030;6;6;108;2012;1;19
29;1;7107;213;164030;6;6;108;2012;1;19
30;1;6671;35;201204;25;13;159;1991;1;35
31;1;7107;329;161665;6;6;116;2013;1;19
32;1;6153;51;102632;6;6;159;2013;1;19
33;2;6727;1686;633592;59;11;43;2011;1;27
34;1;7107;35;220489;25;23;116;2013;1;60
35;1;7107;27;153309;6;6;108;2012;1;19
36;1;7107;51;152489;6;6;43;2012;1;19
37;1;6793;19;117711;6;6;108;1993;1;19
38;2;6309;213;463810;8;7;108;2011;1;19
39;1;6569;19;117720;6;6;51;2013;1;19
40;1;7107;51;102633;6;6;108;2012;1;19
41;1;7107;51;102639;6;6;19;2012;1;19
42;1;7107;51;152495;6;6;116;2012;1;19
43;1;6477;51;102634;6;6;51;2012;1;19
44;1;7107;51;102636;6;6;51;2012;1;19
45;1;7107;51;204166;25;13;43;2012;1;35
46;1;6477;35;149505;6;6;108;1997;1;19
47;1;7107;35;104616;6;6;116;2012;1;19
48;1;6179;94;2602;4;4;19;2006;1;19
49;1;6313;19;160100;6;6;108;2005;1;19
50;1;7145;19;115709;6;6;35;1990;1;19
51;1;6713;19;160625;6;6;108;2013;1;19
52;1;7107;213;164031;6;6;43;2012;1;19
53;1;7107;213;164015;6;6;108;2012;1;19
54;1;7107;213;164031;6;6;108;2011;1;19
55;2;6291;213;243415;25;23;43;2006;1;27
56;1;7107;51;152477;6;6;108;2012;1;19
57;1;7107;19;117720;6;6;43;2013;1;19
58;1;6931;94;26502;4;4;116;2013;1;19
59;1;7071;973;162405;6;6;116;2013;1;19
60;2;6877;6017;349401;59;17;108;2011;1;51
61;2;6877;6017;349401;59;17;108;2011;1;51
62;2;6877;6017;349401;59;17;108;2011;1;51
63;1;6377;35;104999;6;6;140;1985;1;0
64;1;7107;35;149544;6;6;43;2012;1;19
65;1;7107;51;152484;6;6;108;2013;1;19
66;1;6291;213;164018;6;6;108;2012;1;19
67;1;7169;51;102616;6;6;140;1994;1;19
68;1;6597;35;149502;6;6;51;2000;1;19
69;2;6649;213;463810;8;7;108;2011;1;19
70;1;7113;27;108390;6;6;116;2012;1;19
71;1;6415;51;152476;6;6;51;2012;1;19
72;5;6427;51;102639;6;6;43;2012;1;19
