Codigo;Marca
000000;NAO                                
000199;AGRALE/AGRALE                      
000201;AGRALE/AGRALE DAKAR 30.0           
000299;AGRALE/AGRALE DAKAR                
000301;AGRALE/AGRALE ELEF.27.5            
000302;AGRALE/AGRALE ELEF. 16.5           
000303;AGRALE/ELEFANT 900                 
000399;AGRALE/AGRALE ELEF.                
000401;I/MONIKA L5-650 SPG 3              
000501;AGRALE/AGRALE SXT 16.5             
000502;AGRALE/AGRALE SXT 27.5             
000503;AGRALE/AGRALE SXT 27.5 E           
000504;AGRALE/SXT 27.5 EX                 
000599;AGRALE/AGRALE SXT                  
000699;AGRALE/AGRALE XT                   
000701;ALPINA/ALPINA SPORT                
000702;ALPINA/ALPINA ITALIA               
000799;ALPINA/ALPINA                      
000899;AME/AMAZONAS                       
000999;AME/CHOPPER                        
001000;IMP/TORNAX S 250                   
001001;I/ARIEL                            
001002;I/HONDA CB 350                     
001003;I/ARDIE B 250                      
001007;I/VYRUS 987 C3 4V                  
001099;BP/CYNTHIA                         
001101;BP/LAMBRETTA BR                    
001102;BP/LAMBRETA LD 125                 
001103;I/INNOCENTTI LAMBRETTA             
001199;BP/LAMBRETTA                       
001299;BP/PASCO                           
001399;BP/PONEY                           
001401;BP/TORK 125                        
001402;BP/TORK 125 P                      
001403;BP/TORK 150                        
001404;BP/TORK 3                          
001405;BP/TORK 5                          
001406;BP/TORK TRAIL                      
001499;BP/TORK                            
001501;BP/TORKITA 50                      
001502;BP/TRICICLO BP                     
001599;BP/TORKITA                         
001699;BP/XISPA                           
001701;CALOI/MOBYL.SAV 10 CX              
001702;CALOI/MOBYL.II                     
001703;CALOI/MOBYL.TUBULAR II             
001704;CALOI/MOBYL.CX 50                  
001705;CALOI/MOBYL.XR50                   
001706;CALOI/MOBYLET C50 SPORT            
001707;CALOI/MOBYL XL 50                  
001708;CALOI/MOBYLETTE C 50               
001799;CALOI/MOBYL                        
001801;FBN/HALLYE                         
001899;FBM/F.B.M.                         
001901;FBM/MZ 250  RS                     
001902;FBM/MZ 250 RSJ                     
001903;FBM/KAPRA 125 TR                   
001999;FBM/MZ  250                        
002001;HONDA/C100 DREAM                   
002002;HONDA/C100 BIZ                     
002003;HONDA/C100 BIZ ES                  
002004;HONDA/C100  BIZ MAIS               
002005;HONDA/BIZ 125 KS                   
002006;HONDA/BIZ 125 ES                   
002007;HONDA/BIZ 125 MAIS                 
002008;HONDA/LEAD 110                     
002009;HONDA/BIZ 125 EX                   
002010;HONDA/BIZ 100 ES                   
002011;HONDA/BIZ 100 KS                   
002099;H/HONDA                            
002199;H/HONDA 125                        
002299;H/HONDA 150                        
002393;KAWASAKI/NINJA ZX-10R              
002399;H/HONDA 180                        
002499;H/HONDA 400                        
002599;H/HONDA 450                        
002601;H/HONDA CB 400 II                  
002602;HONDA/CB600F HORNET                
002603;I/HONDA CB 400 FOUR                
002604;HONDA/CB 400 FAUSTO                
002699;H/HONDA CB 400                     
002701;H/HONDA CB 450 CUSTON              
002702;H/HONDA CB 450 E                   
002703;H/HONDA CB 450 ESPORTE             
002704;H/HONDA CB 450 S                   
002705;H/HONDA CB 450 TR                  
002706;H/HONDA CB 450 P                   
002707;H/HONDA CB 450 DX                  
002708;HONDA/CBR 450 SR                   
002709;HONDA/HONDA CB500                  
002710;HONDA/CB 300R                      
002771;I/LIFAN LF110 11H                  
002773;HONDA/CB 500F                      
002799;H/HONDA CB 450                     
002801;H/HONDA CG 125 CARGO               
002802;H/HONDA CG 125 TODAY               
002803;HONDA/CG 125 TITAN                 
002804;HONDA/CG 125 TITAN ES              
