Codigo;MarcaCET
0001;NÞO INFORMADA       
0019;VOLKSWAGEN          
0027;FORD                
0035;GM                  
0043;DODGE               
0051;FIAT                
0060;MERCEDES BENZ       
0078;ALFA ROMEO          
0086;FNM                 
0094;MOTOC.MARCA N.IDENT.
0108;CHRYSLER            
0116;SIMCA               
0124;SCANIA VABIS        
0132;PUMA                
0141;OPEL                
0159;OLDSMOBILE          
0167;BMW                 
0175;TOYOTA              
0183;INTERNATIONAL       
0191;PORSCHE             
0205;MERCURY             
0213;RENAULT             
0221;GMC                 
0230;VOLVO               
0248;BUICK               
0256;PONTIAC             
0264;PLYMOUTH            
0272;JAGUAR              
0281;SKODA               
0299;CITROEN             
0302;MORRIS              
0311;MAGIRUS DEUTZ       
0329;PEUGEOT             
0337;BORGWARD            
0345;GURGEL              
0353;FARGO               
0361;CADILLAC            
0370;STUDEBAKER          
0388;ROVER               
0396;DE SOTO             
0400;MACK                
0418;FORD SAF            
0426;TRIUMPH             
0434;WHITE               
0442;AUSTIN              
0451;NASH                
0469;VAUXHALL            
0477;KAYSER              
0485;SUNBEAN             
0493;MG                  
0507;LANCIA              
0515;SINGER              
0523;WOLSELEY            
0531;BUSSING             
0540;MATHIS              
0558;HILLMAN             
0566;COMMER              
0574;NSU                 
0582;FERRARI             
0591;FORDSON             
0604;TAUNUS              
0612;VANGUARD            
0621;BOND                
0639;HUMBER              
0647;GOLIATH             
0655;PACKARD             
0663;HUDSON              
0671;LEYLAND             
0680;MASERATI            
0698;SAUER               
0701;ACLO                
0710;BENTLEY             
0728;AMPHICAR            
0736;ABARTH              
0744;FRAZER              
0752;LINCOLN             
0761;DYSON               
0779;BEDFORD             
0787;REO                 
0795;HOTCHKISS           
0809;STAR                
0817;BRISTOL             
0825;FEDERAL             
0833;FWD                 
0841;HOLDEM              
0850;AERO MINOR          
0868;ALLARD              
0876;BERLIET             
0884;DIAMOND             
0892;HENRY JUNIOR        
0906;ROMI ISETA          
0914;LORENA              
0922;WARZAWA             
0931;LA REINE            
0949;FLEXIBILE           
0957;DELAHAYE            
0965;KENWORTH            
0973;NISSAN              
0981;RILEY               
0990;SIATA DIANA         
1007;INVICTA             
1015;MORGAN              
1023;RHEIN               
1031;VANDERER            
1040;AUTOCAR             
1058;DYNA PANHARD        
1066;GUTBROD             
1074;HANSA               
1082;HENSCHEL            
1091;PEGASSO             
1104;SCAMMELL            
1112;TAUBOT              
1121;TEMPO               
1139;THORNY CROFT        
1147;CROSLEY             
1155;DAIMLER             
1163;HRG                 
1171;ISOTA               
1180;JOWET               
1198;ROGERS              
1201;ROLLS ROYCE         
1210;SALSON              
1228;TEYOPET             
1236;THAMES              
1244;UNIVERSAL           
1252;HONDA               
1261;SUZUKI              
1279;AMERICAN MOTOR      
1287;ARMSTRONG           
1295;AUDI                
1309;AVALLONE            
1317;ASTON MARTIN        
1325;BIANCO              
1333;BRASINCA            
1341;FAUN                
1350;GRAHAN              
1368;BUGGY               
1376;LAMBORGHINI         
1384;LANCHESTER          
1392;LAUTOMOBILE         
1406;MINI PANTHER        
1414;OSCAR SPORT         
1422;SAAB                
1431;SALZGITTER          
1449;STEYR               
1457;TRATOR              
1465;TATRA               
1473;TWIN COACH          
1481;ZIM                 
1490;DKW                 
1503;BUGATTI             
1511;CUMMINS             
1520;LOTUS               
1538;LAFER               
1546;ADAMO               
1554;BUCYRUS ERIE        
1562;CATERPILLAR         
1571;EUCLID              
1589;KOEHRING            
1597;WILLYS              
1601;MALZONI             
1619;MIURA               
1627;MONZA               
1635;SM 4.1              
1643;DACUNHA J.JEG       
1651;MITSUBISHI          
1660;BSA                 
1678;INVEL               
1686;REBOQUE             
1694;COYOTE              
1708;SUBARU              
1716;HAUPAK              
1724;TEREX               
1732;DARDO               
1741;AMC PACER           
1759;ENVEMO              
1767;SQUALO              
1775;TRAILER             
1783;VENTURA             
1791;FERA                
1805;GAZELLE             
1813;CONCORDE            
1821;CAPRIOLET           
1830;VW/EMIS             
1848;VW/FARUS            
1856;VICTORIA            
1864;VILLA               
1872;FORMIGAO            
1881;AGRALE              
1899;GUCCI               
1902;DATSUM              
1911;SWING               
1929;FURGLAINE           
1937;DASHER              
1945;VW/TERRAL           
1953;SKORPIUS            
1961;BRM                 
1970;PAG NICK            
1988;VW/TOY              
1996;BAJA-BUGGY          
2003;PRETTY              
2011;ENGESA              
2020;MIDGET              
2038;HYSTER              
2046;ANGRA               
2054;YAMAHA              
2062;VESPA               
2071;IMP/BELAIR          
2089;IMP/DUCATI          
2097;IMP/JEEP            
2101;IMP/LAND ROWER      
2119;IMP/PREFECT         
2127;MON/CORBIT          
2135;MON/FURCARE         
2143;MON/GIANT'S         
2151;MON/GRAZIELA        
2160;MON/JORNADA         
2178;MON/LEONETTE        
2186;MON/POWER GLASS     
2194;MON/PROTOTIPO       
2208;MON/TANDER-CAR      
2216;VW/GLASPAC          
2224;VW/KADRON           
2232;VW/TARPAN           
2241;VW/DACON            
2259;MON/MGK BUGGY       
2267;MON/VELOSOLEX       
2275;VW/BUGRE            
2283;VW/BABY BUGGY       
2291;VW/JEEP LAIO        
2305;VW/BABY             
2313;VW/DUNNAS           
2321;VW/SELVAGEM         
2330;VW/HOBBY            
2348;VW/TANGER           
2356;VW/XODO             
2364;VW/PRAYANO          
2372;VW/BIRD             
2381;VW/PHANTON          
2399;VW/BRAVO            
2402;RAGGE/RAGGE         
2411;FVE/SAVAGE          
2429;CBT/CBT             
2437;FYBER/FYBER         
2445;ALDEE/ALDEE         
2453;BABY/BABY LAIO      
2461;LADA                
2470;MAFERSA             
2488;HYUNDAI             
2496;MAZDA               
2500;JAVALI              
2518;PHOENIX             
2526;FUTURA              
2534;GEO                 
2542;CHAMONIX            
2551;SATURN              
2569;ISUZU               
2577;VW/GUACU            
2585;KIA                 
2593;SINGER              
2607;CBT/191             
2615;ICOMDA              
2623;GRETA/GAMO          
2631;HOFSTETTER/1.6      
2640;ICOMDA/BRASI IV     
2658;BANTAM              
2666;EAGLE               
2674;ACURA               
2682;ANGLIA              
2691;ANPHIFAR AN         
2704;AUBURN              
2712;AUTO UNION          
2721;BRUMANA PUG         
2739;DAIHATSU            
2747;DE TOMASO           
2755;DURANT              
2763;ERLAN               
2771;FAIRLANE            
2780;FRANKLIN            
2798;GIGULI              
2801;GRAF STIFT          
2810;HISPANO             
2828;HOFFMAN             
2836;HORNET              
2844;HUPMOBILE           
2852;IVECO               
2861;MADALINCO           
2879;GRANCAR             
2887;FERCAR              
2895;FLEXIBLE            
2909;SANYOU              
2917;XINLING             
2925;DAYUN               
2933;TANK                
2941;CIXI ASIAMOTOS      
2950;WANGYE              
2968;CSR                 
2976;VMAG                
2984;LDV                 
2992;MACK                
3000;ADAX                
3018;AURORA/BERL122C     
3026;A1/TRILHA           
3034;BM/FOSTER           
3042;BRASFIBRA/HAPPY     
3051;BUZIO               
3069;CARRAH/MUSARI       
3077;ENFIELD             
3085;LMS                 
3093;DAYANG              
3107;HRD                 
3115;SUNBEAM             
3123;HER CHEE            
3131;ADLY                
3140;JINCHENG            
3158;BELDE               
3166;CARRERA             
3174;MALAGUTI            
3182;FOSTI               
3191;BAJAJ               
3204;NANFANG             
3212;SIMSON              
3221;GEMSY               
3239;SINTEC              
3247;ATALA               
3255;EMME                
3263;PAMPERA             
3271;MAX MOTORS          
3280;QIANJIANG           
3298;SIAMOTO             
3301;GANGTIAN            
3310;GAS GAS             
3328;BYCRISTO            
3336;DOUGLAS             
3344;CHANG JIANG         
3352;TRIWAY              
3361;MVK                 
3379;LIFAN               
3387;SUNDOWN             
3395;DAFRA               
3409;XGJAO               
3417;LONCIN              
3425;ZONGSHEN            
3433;MOTTUS              
3441;BUELL               
3450;LEOPARD             
3468;MULLER              
3476;ZHONGYU             
3484;VENTO               
3492;SHINERAY            
3506;CBP/EJ1             
3514;CHEDA               
3522;EDRA/RANCHO         
3531;EGO/CUMBUCO L       
3549;EMISUL/BB           
3557;ENSEADA/MG I        
3565;FIBRA/F1            
3573;FN/CIG ANO KL       
3581;KAMAZ 4310          
3590;MATRA               
3603;ASIA                
3611;RDK/RENEGADE        
3620;ITAPEMIRIM/SBVM     
3638;ITAPOA/ITAPOA       
3646;JV/JOTAVE I         
3654;HB/BRIO FX          
3662;DAEWOO              
3671;MVE/REGATA          
3689;MORO                
3697;SEAT                
3701;UTILITY             
3719;DACLAND             
3727;PIONER              
3735;IFA                 
3743;BELT                
3751;L A.CRAFT/DINO      
3760;L A.CRAFT/SABRE     
3778;MON/TANDER PHOR     
3786;MON/RAMELO          
3794;MON/TURINO          
3808;MON/S.HOUSE         
3816;VLM/VLM             
3824;SPORT REIN          
3832;ZIG                 
3841;LASSALE             
3859;QUASAR RUNNER       
3867;MON/DACRIS          
3875;MARAJA              
3883;MARINAS             
3891;ITAL                
3905;GADNER              
3913;JOBBY               
3921;MAGNATA             
3930;UAZ                 
3948;MIRANTE             
3956;GAMO                
