Codigo;Municipio
00790;ARCO IRIS                     
00792;BREJO ALEGRE                  
00794;CANAS                         
00796;FERNAO                        
00798;GAVIAO PEIXOTO                
00800;IPIGUA                        
00802;JUMIRIM                       
00804;NANTES                        
00806;NOVA CASTILHO                 
00808;OUROESTE                      
00810;PAULISTANIA                   
00812;PRACINHA                      
00814;PRATANIA                      
00816;QUADRA                        
00818;RIBEIRAO DOS INDIOS           
00820;SANTA CRUZ DA ESPERANCA       
00822;SANTA SALETE                  
00824;TAQUARAL                      
00826;TRABIJU                       
00828;VITORIA BRASIL                
02937;LOURDES                       
02939;SANTO ANTONIO ARACANGUA       
02941;SAO JOAO DE IRACEMA           
02943;ILHA SOLTEIRA                 
02945;SUZANAPOLIS                   
02947;CANITAR                       
02949;ENGENHEIRO COELHO             
02951;HORTOLANDIA                   
02953;HOLAMBRA                      
02955;TUIUTI                        
02957;VARGEM                        
02959;ESTIVA GERBI                  
02961;EMILIANOPOLIS                 
02963;PEDRINHAS PAULISTA            
02965;BERTIOGA                      
02967;CAJATI                        
02969;ILHA COMPRIDA                 
02971;UBARANA                       
02973;ZACARIAS                      
02975;ELISARIO                      
02977;MARAPOAMA                     
02979;NOVAIS                        
02981;ASPASIA                       
02983;MESOPOLIS                     
02985;NOVA CANAA PAULISTA           
02987;PONTALINDA                    
02989;PARISI                        
02991;ARAPEI                        
02993;POTIM                         
02995;ALAMBARI                      
02997;BARRA DO CHAPEU               
02999;CAMPINA DO MONTE ALEGRE       
03053;ITAOCA                        
03055;ITAPIRAPUA PAULISTA           
03057;RIBEIRAO GRANDE               
03059;BOM SUCESSO DO ITARARE        
03061;NOVA CAMPINA                  
03063;TAQUARIVAI                    
03065;ALUMINIO                      
03067;ARACARIGUAMA                  
03227;TORRE DE PEDRA                
05445;SALTINHO                      
05447;SAO LOURENCO DA SERRA         
06101;ADAMANTINA                    
06103;ADOLFO                        
06105;AGUAI                         
06107;AGUAS DA PRATA                
06109;AGUAS DE LINDOIA              
06111;AGUAS DE SAO PEDRO            
06113;AGUDOS                        
06115;ALFREDO MARCONDES             
06117;ALTAIR                        
06119;ALTINOPOLIS                   
06121;ALTO ALEGRE                   
06123;ALVARES FLORENCE              
06125;ALVARES MACHADO               
06127;ALVARO DE CARVALHO            
06129;ALVINLANDIA                   
06131;AMERICANA                     
06133;AMERICO BRASILIENSE           
06135;AMERICO DE CAMPOS             
06137;AMPARO                        
06139;ANALANDIA                     
06141;ANDRADINA                     
06143;ANGATUBA                      
06145;ANHEMBI                       
06147;ANHUMAS                       
06149;APARECIDA                     
06151;APARECIDA D'OESTE             
06153;APIAI                         
06155;ARACATUBA                     
06157;ARACOIABA DA SERRA            
06159;ARAMINA                       
06161;ARANDU                        
06163;ARARAQUARA                    
06165;ARARAS                        
06167;AREALVA                       
06169;AREIAS                        
06171;AREIOPOLIS                    
06173;ARIRANHA                      
06175;ARTUR NOGUEIRA                
06177;ARUJA                         
06179;ASSIS                         
06181;ATIBAIA                       
06183;AURIFLAMA                     
06185;AVAI                          
06187;AVANHANDAVA                   
06189;AVARE                         
06191;BADY BASSITT                  
06193;BALBINOS                      
06195;BALSAMO                       
06197;BANANAL                       
06199;BARBOSA                       
06201;BARAO DE ANTONINA             
06203;BARIRI                        
06205;BARRA BONITA                  
06207;BARRA DO TURVO                
06209;BARRETOS                      
06211;BARRINHA                      
06213;BARUERI                       
06215;BASTOS                        
06217;BATATAIS                      
06219;BAURU                         
06221;BEBEDOURO                     
06223;BENTO DE ABREU                
06225;BERNARDINO DE CAMPOS          
06227;BILAC                         
06229;BIRIGUI                       
06231;BIRITIBA-MIRIM                
06233;BOA ESPERANCA DO SUL          
06235;BOCAINA                       
06237;BOFETE                        
06239;BOITUVA                       
06241;BOM JESUS DOS PERDOES         
06243;BORA                          
06245;BORACEIA                      
06247;BORBOREMA                     
06249;BOTUCATU                      
06251;BRAGANCA PAULISTA             
06255;BRAUNA                        
06257;BRODOWSKI                     
06259;BROTAS                        
06261;BURI                          
06263;BURITAMA                      
06265;BURITIZAL                     
06267;CABRALIA PAULISTA             
06269;CABREUVA                      
06271;CACAPAVA                      
06273;CACHOEIRA PAULISTA            
06275;CACONDE                       
06277;CAFELANDIA                    
06279;CAIABU                        
06281;CAIEIRAS                      
06283;CAIUA                         
06285;CAJAMAR                       
06287;CAJOBI                        
06289;CAJURU                        
06291;CAMPINAS                      
06293;CAMPO LIMPO PAULISTA          
06295;CAMPOS DO JORDAO              
06297;CAMPOS NOVOS PAULISTA         
06299;CANANEIA                      
06301;CANDIDO MOTA                  
06303;CANDIDO RODRIGUES             
06305;CAPAO BONITO                  
06307;CAPELA DO ALTO                
06309;CAPIVARI                      
06311;CARAGUATATUBA                 
06313;CARAPICUIBA                   
06315;CARDOSO                       
06317;CASA BRANCA                   
06319;CASSIA DOS COQUEIROS          
06321;CASTILHO                      
06323;CATANDUVA                     
06325;CATIGUA                       
06327;CEDRAL                        
06329;CERQUEIRA CESAR               
06331;CERQUILHO                     
06333;CESARIO LANGE                 
06335;CHARQUEADA                    
06337;CHAVANTES                     
06339;CLEMENTINA                    
06341;COLINA                        
06343;COLOMBIA                      
06345;CONCHAL                       
06347;CONCHAS                       
06349;CORDEIROPOLIS                 
06351;COROADOS                      
06353;CORONEL MACEDO                
06355;CORUMBATAI                    
06357;COSMOPOLIS                    
06359;COSMORAMA                     
06361;COTIA                         
06363;CRAVINHOS                     
06365;CRISTAIS PAULISTA             
06367;CRUZALIA                      
06369;CRUZEIRO                      
06371;CUBATAO                       
06373;CUNHA                         
06375;DESCALVADO                    
06377;DIADEMA                       
06379;DIVINOLANDIA                  
06381;DOBRADA                       
06383;DOIS CORREGOS                 
06385;DOLCINOPOLIS                  
06387;DOURADO                       
06389;DRACENA                       
06391;DUARTINA                      
06393;DUMONT                        
06395;ECHAPORA                      
06397;ELDORADO                      
06399;ELIAS FAUSTO                  
06401;EMBU DAS ARTES                
06403;EMBU-GUACU                    
06405;ESTRELA D OESTE               
06407;ESTRELA DO NORTE              
06409;FARTURA                       
06411;FERNANDOPOLIS                 
06413;FERNANDO PRESTES              
06415;FERRAZ DE VASCONCELOS         
06417;FLORA RICA                    
06419;FLOREAL                       
06421;FLORIDA PAULISTA              
06423;FLORINEA                      
06425;FRANCA                        
06427;FRANCISCO MORATO              
06429;FRANCO DA ROCHA               
06431;GABRIEL MONTEIRO              
06433;GALIA                         
06435;GARCA                         
06437;GASTAO VIDIGAL                
06439;GENERAL SALGADO               
06441;GETULINA                      
06443;GLICERIO                      
06445;GUAICARA                      
06447;GUAIMBE                       
06449;GUAIRA                        
06451;GUAPIACU                      
06453;GUAPIARA                      
06455;GUARA                         
06457;GUARACAI                      
06459;GUARACI                       
06461;GUARANI D'OESTE               
06463;GUARANTA                      
06465;GUARARAPES                    
06467;GUARAREMA                     
06469;GUARATINGUETA                 
06471;GUAREI                        
06473;GUARIBA                       
06475;GUARUJA                       
06477;GUARULHOS                     
06479;GUZOLANDIA                    
06481;HERCULANDIA                   
06483;IACANGA                       
06485;IACRI                         
06487;IBATE                         
06489;IBIRA                         
06491;IBIRAREMA                     
