idLombada;codLomb;tipo;altura;comprimento;dataPublicacaoImplantacao;codlog;logradouro;alturaNumerica;referencia;siglaSubprefeitura;nomeSubprefeitura;classificacaoViaria;declividade;larguraPista;temCalcada;larguraCalcada;volumePedestre;tipoVolumeVeiculo;tipoPavimento;condicaoPavimento;temVisibilidadePrejudicada;temEscola;nomeEscola;temColetivo;temRiscoAcidente;substituidaPor;observacao
13263;420028;II;0.12;3.50;26/09/1998 00:00;15;ABAGIBA, R;1229;FRENTE Nº1223, A 40M R. DOM VILLARES;IP;IPIRANGA;1;2.00;9.00;1;1.45;NULL;1;1;1;0;0;NULL;1;0;NULL;Sptrans informou em 21/6/10 os trechos com tráfego de ônibus: da R. Alcides Boscolo a R. Martinho Guedes e R. Italva a Av. Dom Vilares  Em vistoria realizada em 19.07.2011 ref. a atendimento de P.S. 0025.03706/11-89, 00.25.05177/11-20 e 00.25.05120/11-03, a mesma será remanejada para o número 1195.
13267;420034;I;0.10;2.30;26/09/1998 00:00;15;ABAGIBA, R;253;30M R. ALCIDES BOSCOLI;IP;IPIRANGA;1;1.00;10.10;1;NULL;NULL;0;1;2;0;0;NULL;0;0;NULL;21/4/10- h=0.10, c=2.30, declividade = 0%  - ELABORAR PROJETO READEQUANDO
13268;420035;I;0.11;2.50;26/09/1998 00:00;15;ABAGIBA, R;197;30M R. PE LUIS DO GRA;IP;IPIRANGA;1;1.00;10.10;1;NULL;NULL;0;1;2;0;0;NULL;1;0;NULL;21/4/10- h=0.11,c=2.50, declive= 0% - ELABORAR PROJETO READEQUANDO
13269;420036;I;0.10;2.00;26/09/1998 00:00;15;ABAGIBA, R;115;20M R. JOSE P. ANDRADE;IP;IPIRANGA;1;0.00;10.10;0;NULL;NULL;0;1;2;0;0;NULL;0;0;NULL;21/4/10 - h=0.10, c=2.0 - ELABORAR PROJETO READEQUANDO
13270;420037;I;0.10;2.00;26/09/1998 00:00;15;ABAGIBA, R;NULL;S/Nº, 23 M R. STO. ALBANO, a 10 metros do nº39;IP;IPIRANGA;1;0.00;10.00;0;NULL;NULL;0;1;2;0;0;NULL;0;0;NULL;21/4/10 - h=0.10, c=2.0- ELABORAR PROJETO READEQUANDO
9909;210011;I;0.10;1.50;26/09/1998 00:00;19;PEDRO OSORIO FILHO, R;819;NULL;CV;CASA VERDE / CACHOEIRINHA;1;1.00;8.00;0;NULL;NULL;0;1;1;0;1;E.E. PROFª MARLY DIVA BONFANTI;0;0;NULL;NULL
9912;210012;I;0.10;1.50;26/09/1998 00:00;19;PEDRO OSORIO FILHO, R;963;NULL;CV;CASA VERDE / CACHOEIRINHA;1;1.00;8.00;0;NULL;NULL;0;1;1;0;1;E.E. PROFª MARLY DIVA BONFANTI;0;0;NULL;NULL
26690;510305;II;0.10;3.75;26/09/1998 00:00;47;ABIGAIL ALVES PIRES, R PROFA;76;NULL;BT;BUTANTÃ;1;2.00;10.00;0;NULL;NULL;0;0;0;0;0;NULL;0;0;NULL;NULL
9511;230845;I;0.08;1.50;18/03/1999 00:00;56;ABILIO SAMPAIO, AV DR;386;NULL;MG;VILA MARIA / VILA GUILHERME;1;1.00;8.00;1;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
9512;230846;I;0.08;1.50;18/03/1999 00:00;56;ABILIO SAMPAIO, AV DR;510;NULL;MG;VILA MARIA / VILA GUILHERME;1;1.00;8.00;1;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
11454;220588;II;0.13;3.70;13/09/2011 00:00;64;ABRAHAM LINCOLN, R;126;NULL;PJ;PIRITUBA;1;2.00;9.00;1;2.00;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
8882;230367;II;0.10;3.70;26/09/1998 00:00;68;FRANCISCO AMOS CONNOR, R PDE;340;NULL;JT;TREMEMBÉ / JAÇANÃ;1;1.00;9.20;1;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
8883;230368;II;0.10;3.70;26/06/1998 00:00;68;FRANCISCO AMOS CONNOR, R PDE;264;NULL;JT;TREMEMBÉ / JAÇANÃ;1;1.00;9.20;1;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
10545;210631;I;0.08;1.50;03/05/2012 00:00;79;ABURA, R;362;NULL;CV;CASA VERDE / CACHOEIRINHA;1;2.00;7.00;1;2.00;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
10546;210632;I;0.08;1.50;03/05/2012 00:00;79;ABURA, R;563;NULL;CV;CASA VERDE / CACHOEIRINHA;1;2.00;7.00;0;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
17813;520028;II;0.11;2.80;18/03/1999 00:00;83;FEITICO DA VILA, R;850;849/110a;CL;CAMPO LIMPO;1;3.00;10.00;1;1.50;NULL;0;1;1;0;1;EMEF Jorge Americano;0;0;NULL;NULL
17814;520029;II;0.05;3.70;18/03/1999 00:00;83;FEITICO DA VILA, R;747;NULL;CL;CAMPO LIMPO;1;7.00;9.20;1;1.50;NULL;0;1;1;0;1;EMEF Jorge Americano;0;0;NULL;NULL
17815;520030;II;NULL;NULL;18/03/1999 00:00;83;FEITICO DA VILA, R;361;NULL;CL;CAMPO LIMPO;1;2.00;9.00;1;2.20;NULL;0;1;1;0;0;NULL;0;0;522691;NULL
17816;520031;II;0.07;3.00;18/03/1999 00:00;83;FEITICO DA VILA, R;140;135;CL;CAMPO LIMPO;1;3.00;9.00;1;1.50;NULL;0;1;1;0;1;CEU Feitíço da Vila;0;0;NULL;NULL
18036;520027;II;0.09;2.70;18/03/1999 00:00;83;FEITICO DA VILA, R;957;NULL;CL;CAMPO LIMPO;1;5.00;10.00;1;1.60;NULL;0;1;1;0;1;EMEF Herbert de Souza;0;0;NULL;NULL
16304;410138;I;0.09;1.50;18/03/1999 00:00;95;ACACIO VASCONCELOS, R;452;NULL;SA;SANTO AMARO;1;0.00;7.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
16318;410135;I;0.09;1.50;18/03/1999 00:00;95;ACACIO VASCONCELOS, R;168;NULL;SA;SANTO AMARO;1;0.00;7.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
16319;410136;I;0.08;1.50;18/03/1999 00:00;95;ACACIO VASCONCELOS, R;270;NULL;SA;SANTO AMARO;1;0.00;7.00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL
7199;302702;I;0.08;1.50;24/01/2012 00:00;96;ACAIACA, R;326;NULL;IQ;ITAQUERA;1;1.00;8.00;0;NULL;NULL;0;1;1;0;0;NULL;0;0;NULL;NULL
