MODALIDADE;CADASTRO;VALIDADE;SITUACAO;DT_NASCIMENTO;LOCAL_PONTO;PONTUACAO
ESCOLAR;127800;11/02/2008;CANCELADO;11/02/1954;;5
ESCOLAR;849700;11/04/2010;DESATIVADO;20/04/1955;;20
ESCOLAR;868001;15/02/2005;DESATIVADO;22/03/1966;;5
ESCOLAR;1134200;03/11/2002;DESATIVADO;13/11/1940;;10
ESCOLAR;1370900;27/10/2009;DESATIVADO;08/11/1941;;50
ESCOLAR;1430200;13/07/2004;DESATIVADO;13/07/1959;;10
ESCOLAR;1503600;26/05/2011;DESATIVADO;29/05/1966;;5
ESCOLAR;1505100;25/10/2006;CANCELADO;25/10/1946;;10
ESCOLAR;1657400;02/02/2003;DESATIVADO;02/02/1971;;5
ESCOLAR;1678700;05/12/2008;DESATIVADO;05/12/1962;;5
ESCOLAR;1728900;02/02/2004;DESATIVADO;02/02/1968;;25
ESCOLAR;1768500;30/07/2004;DESATIVADO;30/07/1964;;45
ESCOLAR;1839700;20/11/2007;DESATIVADO;20/11/1952;;10
ESCOLAR;1840000;15/09/2012;DESATIVADO;19/09/1974;;5
ESCOLAR;1891900;04/10/2013;DESATIVADO;26/01/1978;;40
ESCOLAR;1971900;01/08/2003;DESATIVADO;01/08/1958;;40
ESCOLAR;1987000;22/01/2007;DESATIVADO;22/01/1975;;20
ESCOLAR;2022000;26/03/2007;DESATIVADO;26/03/1981;;5
ESCOLAR;2092100;03/09/2005;BLOQUEADO;03/09/1960;;5
ESCOLAR;2120200;29/08/2007;DESATIVADO;29/08/1967;;5
ESCOLAR;2137900;22/02/2006;DESATIVADO;22/02/1966;;10
ESCOLAR;2140000;15/02/2003;DESATIVADO;15/02/1967;;60
ESCOLAR;2174100;16/03/2010;CANCELADO;28/03/1965;;5
ESCOLAR;2244600;18/03/2007;DESATIVADO;18/03/1962;;10
ESCOLAR;2288000;21/06/2007;CANCELADO;21/06/1978;;10
ESCOLAR;2441700;22/02/2008;DESATIVADO;22/02/1982;;5
ESCOLAR;2446700;07/03/2006;DESATIVADO;07/03/1979;;10
ESCOLAR;2827000;07/11/2010;DESATIVADO;05/11/1960;;15
ESCOLAR;2841700;01/03/2008;DESATIVADO;01/03/1976;;5
ESCOLAR;2858200;27/01/2012;DESATIVADO;02/02/1981;;10
