MODALIDADE;LICENÇA;CADASTRO
ESCOLAR;400;400
ESCOLAR;1600;1600
ESCOLAR;2700;2700
ESCOLAR;2900;2900
ESCOLAR;6300;6300
ESCOLAR;6400;6400
ESCOLAR;6700;6700
ESCOLAR;6900;6900
ESCOLAR;8300;8300
ESCOLAR;13000;13000
ESCOLAR;15000;15000
ESCOLAR;16300;16300
ESCOLAR;18900;18900
ESCOLAR;22800;22800
ESCOLAR;23200;23200
ESCOLAR;25900;25900
ESCOLAR;26000;26000
ESCOLAR;26400;26400
ESCOLAR;26500;26500
ESCOLAR;29300;29300
ESCOLAR;31000;31000
ESCOLAR;36600;36600
ESCOLAR;36800;431700
ESCOLAR;38000;38000
ESCOLAR;41100;41100
ESCOLAR;42500;42500
ESCOLAR;43000;43000
ESCOLAR;44900;44900
ESCOLAR;46100;46100
ESCOLAR;54500;54500
ESCOLAR;55800;55800
ESCOLAR;58300;58300
ESCOLAR;60500;60500
ESCOLAR;67500;67500
ESCOLAR;68600;68600
ESCOLAR;70300;70300
ESCOLAR;70400;70400
ESCOLAR;71300;71300
ESCOLAR;71700;71700
ESCOLAR;73400;73400
ESCOLAR;73500;73500
ESCOLAR;75100;75100
ESCOLAR;76700;76700
ESCOLAR;76900;76900
ESCOLAR;78000;78000
ESCOLAR;81300;81300
ESCOLAR;81900;81900
ESCOLAR;82200;82200
ESCOLAR;87300;87300
ESCOLAR;89800;89800
ESCOLAR;93300;93300
ESCOLAR;94000;94000
ESCOLAR;95100;95100
ESCOLAR;96300;96300
ESCOLAR;104100;104100
ESCOLAR;115300;115300
ESCOLAR;117100;117100
ESCOLAR;118000;118000
ESCOLAR;123900;123900
ESCOLAR;124200;124200
ESCOLAR;124900;726500
ESCOLAR;126700;126700
ESCOLAR;128900;128900
ESCOLAR;129300;129300
ESCOLAR;129800;129800
ESCOLAR;136400;136400
ESCOLAR;141500;141500
ESCOLAR;153000;153000
ESCOLAR;155700;1277500
ESCOLAR;171900;171900
ESCOLAR;182800;182800
ESCOLAR;184600;184600
ESCOLAR;185400;185400
ESCOLAR;191400;191400
ESCOLAR;191700;191700
ESCOLAR;192600;192600
ESCOLAR;192700;192700
ESCOLAR;193400;193400
ESCOLAR;193900;193900
ESCOLAR;195000;195000
ESCOLAR;195400;195400
ESCOLAR;196200;196200
ESCOLAR;198200;198200
ESCOLAR;200800;200800
ESCOLAR;201200;201200
ESCOLAR;202900;202900
ESCOLAR;205000;205000
ESCOLAR;205800;205800
ESCOLAR;211300;211300
ESCOLAR;212100;212100
ESCOLAR;214800;214800
ESCOLAR;215000;215000
ESCOLAR;216000;216000
ESCOLAR;216700;216700
ESCOLAR;217000;217000
ESCOLAR;218100;218100
ESCOLAR;221200;221200
ESCOLAR;221800;221800
ESCOLAR;223200;223200
ESCOLAR;226600;226600
ESCOLAR;230700;230700
ESCOLAR;232400;232400
ESCOLAR;236400;236400
ESCOLAR;240300;240300
ESCOLAR;240500;240500
ESCOLAR;248700;248700
ESCOLAR;251900;251900
ESCOLAR;255400;255400
ESCOLAR;255700;255700
ESCOLAR;255800;255800
ESCOLAR;256700;256700
ESCOLAR;262400;262400
ESCOLAR;271000;271000
ESCOLAR;271900;271900
ESCOLAR;272000;272000
ESCOLAR;272900;272900
ESCOLAR;279100;279100
ESCOLAR;279200;279200
ESCOLAR;281900;281900
ESCOLAR;282000;282000
ESCOLAR;282800;282800
ESCOLAR;283700;283700
ESCOLAR;283800;283800
ESCOLAR;284700;284700
ESCOLAR;285500;285500
ESCOLAR;293000;293000
ESCOLAR;294800;294800
ESCOLAR;297300;297300
ESCOLAR;304200;304200
ESCOLAR;306600;306600
ESCOLAR;309600;309600
ESCOLAR;309800;309800
ESCOLAR;310000;310000
ESCOLAR;310800;310800
ESCOLAR;314100;314100
ESCOLAR;321000;321000
ESCOLAR;324100;324100
ESCOLAR;324200;324200
ESCOLAR;332400;332400
ESCOLAR;334600;334600
ESCOLAR;335200;335200
ESCOLAR;335400;335400
ESCOLAR;335600;335600
ESCOLAR;336100;336100
ESCOLAR;337800;337800
ESCOLAR;338300;338300
ESCOLAR;340100;340100
ESCOLAR;344700;344700
ESCOLAR;345000;345000
ESCOLAR;345600;345600
ESCOLAR;346000;346000
ESCOLAR;348000;348000
ESCOLAR;348300;348300
ESCOLAR;349100;349100
ESCOLAR;349400;349400
ESCOLAR;349800;349800
ESCOLAR;349900;349900
ESCOLAR;351500;351500
ESCOLAR;351600;351600
ESCOLAR;353100;353100
ESCOLAR;353200;353200
ESCOLAR;353600;353600
ESCOLAR;353800;353800
ESCOLAR;354200;354200
ESCOLAR;354300;354300
ESCOLAR;358600;358600
ESCOLAR;359100;359100
ESCOLAR;361100;361100
ESCOLAR;362600;362600
ESCOLAR;363000;363000
ESCOLAR;366100;366100
ESCOLAR;366600;366600
ESCOLAR;368800;368800
ESCOLAR;369200;369200
ESCOLAR;371100;371100
ESCOLAR;371400;371400
ESCOLAR;371900;371900
ESCOLAR;373700;373700
ESCOLAR;374500;374500
ESCOLAR;374900;374900
ESCOLAR;376100;376100
ESCOLAR;376500;376500
ESCOLAR;377500;377500
ESCOLAR;378600;378601
ESCOLAR;379400;379400
ESCOLAR;379500;379500
ESCOLAR;380400;380400
ESCOLAR;381700;381700
ESCOLAR;381900;381900
ESCOLAR;382700;382700
ESCOLAR;382800;382800
ESCOLAR;383300;383300
ESCOLAR;384000;839000
ESCOLAR;387300;387300
ESCOLAR;390400;390400
ESCOLAR;392400;392400
ESCOLAR;392700;392700
ESCOLAR;392800;392800
ESCOLAR;393000;393000
ESCOLAR;394100;394100
ESCOLAR;394400;394400
ESCOLAR;397000;397000
ESCOLAR;398100;398100
ESCOLAR;400500;400500
ESCOLAR;402500;402500
ESCOLAR;403900;403900
ESCOLAR;405400;405400
ESCOLAR;406800;406800
ESCOLAR;407000;407000
ESCOLAR;407200;407200
ESCOLAR;407600;407600
ESCOLAR;408100;408100
ESCOLAR;408400;408400
ESCOLAR;408700;408700
ESCOLAR;409500;409500
ESCOLAR;409600;409600
ESCOLAR;409700;409700
ESCOLAR;410100;410100
ESCOLAR;414800;414800
ESCOLAR;415900;415900
ESCOLAR;416400;416400
ESCOLAR;417800;417800
ESCOLAR;417900;417900
ESCOLAR;418200;418200
ESCOLAR;418300;418300
ESCOLAR;418900;418900
ESCOLAR;419800;419800
ESCOLAR;420400;420400
ESCOLAR;421600;421600
ESCOLAR;424100;424100
ESCOLAR;424600;424600
ESCOLAR;425500;799300
ESCOLAR;426900;426900
ESCOLAR;427100;427100
ESCOLAR;427500;427500
ESCOLAR;427800;427800
ESCOLAR;428700;428700
ESCOLAR;431700;431700
ESCOLAR;433400;433400
ESCOLAR;434300;434300
ESCOLAR;435200;435200
ESCOLAR;435900;435900
ESCOLAR;436000;436000
ESCOLAR;436200;436200
ESCOLAR;436600;436600
ESCOLAR;436700;436700
ESCOLAR;437600;437600
ESCOLAR;439400;439400
ESCOLAR;439700;439700
ESCOLAR;439800;439800
ESCOLAR;441000;441000
ESCOLAR;442000;442000
ESCOLAR;442700;442700
ESCOLAR;444200;444200
ESCOLAR;444600;444600
ESCOLAR;448300;448300
