MODALIDADE;LICENÇA;SITUAÇÃO;VALIDADE;CATEGORIA
ESCOLAR;1353700;ATIVO;14/01/2015;
ESCOLAR;1353800;CANCELADO;01/03/2008;
ESCOLAR;1353900;CANCELADO;15/01/2002;
ESCOLAR;1354000;CANCELADO;15/01/2002;
ESCOLAR;1354100;CANCELADO;15/01/2002;
ESCOLAR;1354200;CANCELADO;29/01/2000;
ESCOLAR;1354300;CANCELADO;15/01/2005;
ESCOLAR;1354400;CANCELADO;15/01/2005;
ESCOLAR;1354500;CANCELADO;18/01/2002;
ESCOLAR;1354600;CANCELADO;18/01/2000;
ESCOLAR;1354700;ATIVO;27/01/2015;
ESCOLAR;1354800;CANCELADO;18/01/2004;
ESCOLAR;1354900;CANCELADO;18/01/2009;
ESCOLAR;1355000;CANCELADO;29/01/2000;
ESCOLAR;1355100;ATIVO;18/01/2015;
ESCOLAR;1355200;CANCELADO;25/02/2013;
ESCOLAR;1355300;CANCELADO;29/01/2004;
ESCOLAR;1355400;ATIVO;29/01/2015;
ESCOLAR;1355500;CANCELADO;18/01/2003;
ESCOLAR;1355600;BLOQUEADO;03/02/2014;
ESCOLAR;1355700;CANCELADO;18/01/2000;
ESCOLAR;1355800;CANCELADO;18/01/2003;
ESCOLAR;1355900;CANCELADO;18/01/2005;
ESCOLAR;1356000;CANCELADO;19/01/2008;
ESCOLAR;1356100;CANCELADO;19/01/2001;
ESCOLAR;1356200;CANCELADO;19/01/2007;
ESCOLAR;1356300;CANCELADO;19/01/2001;
ESCOLAR;1356400;CANCELADO;20/01/2004;
ESCOLAR;1356500;CANCELADO;19/01/2006;
ESCOLAR;1356600;CANCELADO;27/01/2010;
ESCOLAR;1356700;ATIVO;29/01/2015;
ESCOLAR;1356800;CANCELADO;29/01/2009;
ESCOLAR;1356900;CANCELADO;19/01/2004;
ESCOLAR;1357000;CANCELADO;19/01/2006;
ESCOLAR;1357100;CANCELADO;19/01/2005;
ESCOLAR;1357200;CANCELADO;19/01/2006;
ESCOLAR;1357300;CANCELADO;19/01/2007;
ESCOLAR;1357400;ATIVO;19/01/2015;
ESCOLAR;1357500;CANCELADO;20/01/2002;
ESCOLAR;1357600;ATIVO;20/01/2015;
ESCOLAR;1357700;ATIVO;26/01/2015;
ESCOLAR;1357800;CANCELADO;20/01/2001;
