MARCA;FABRICAÇÃO;VISTORIA;COMBUSTIVEL;QTDE_PORTAS
FIAT/DUC M APLIKART M20;2013;23/01/2014;diesel;
M.BENZ/CAIO PICCO LO814;1999;30/01/2014;diesel;
M.BENZ/CAIO PICCO LO814;1999;13/02/2014;diesel;
M.BENZ/CAIO PICCO LO814;1999;27/01/2014;diesel;
M.BENZ/CAIO PICCO LO814;1999;04/02/2014;diesel;
M.BENZ/CAIO PICCO LO814;1999;22/01/2014;diesel;
M.BENZ/CAIO PICCO LO814;1999;29/01/2014;diesel;
M.BENZ/CAIO PICCO LO814;1999;28/01/2014;diesel;
I/HYUNDAI H100 GLS;1999;11/02/2014;diesel;
FIAT/DUCATO GUERRA MC 16;2011;11/11/2013;diesel;
I/HYUNDAI H100 GLS;2001;27/11/2013;diesel;
IMP/KIA BESTA 12P GS;2000;15/01/2014;diesel;
I/KIA BESTA GS GRAND;2000;18/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2012;11/02/2014;diesel;
IMP/KIA BESTA 12P GS;1999;04/02/2014;diesel;
IMP/KIA BESTA 12P GS;1999;07/02/2014;diesel;
M.BENZ/OF 812;1993;29/10/2013;diesel;
RENAULT/M REVESCAP L3H2;2012;17/12/2013;diesel;
CITROEN/JUMPER M33M 23S;2010;11/02/2014;diesel;
M.BENZ/LO915 NEOBUS TH;2008;14/02/2014;diesel;
RENAULT/MASTER MBUS L3H2;2013;07/02/2014;diesel;
IMP/ASIA TOPIC DLX;1997;13/09/2012;diesel;
IMP/KIA BESTA 12P GS;1998;08/11/2013;diesel;
I/HYUNDAI H100 GL;2002;03/02/2014;diesel;
MARCOPOLO/VOLARE LOTACAO;2000;29/11/2013;diesel;
FIAT/DUCATO 15REFAMMIC13;2007;07/11/2013;diesel;
IMP/M.BENZ 310D SPRINTERM;1999;04/12/2013;diesel;
IMP/KIA BESTA 12P GS;2000;02/09/2013;diesel;
MARCOPOLO/VOLARE LOTACAO;2001;09/12/2013;diesel;
MARCOPOLO/VOLARE LOTACAO;2003;26/08/2013;diesel;
PEUGEOT/BOXER TRANS ESC;2011;17/09/2013;diesel;
VW/KOMBI ESCOLAR;2007;10/09/2013;álcool/gasolina;
IMP/KIA BESTA 12P GS;2000;18/09/2013;diesel;
I/KIA BESTA GS GRAND2;2004;28/01/2014;diesel;
IMP/KIA BESTA 12P GS;2000;21/01/2014;diesel;
FIAT/DUCA ESCOLAR FFBM26;2003;22/01/2014;diesel;
I/KIA BESTA GS GRAND;2001;23/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2011;15/02/2014;diesel;
PEUGEOT/BOXER M330M 23S;2012;18/02/2014;diesel;
MARCOPOLO/VOLARE LOTACAO;2000;12/02/2014;diesel;
I/HYUNDAI H100 GL;2002;17/12/2013;diesel;
PEUGEOT/BOXER M330M 23S;2012;12/11/2013;diesel;
M.BENZ/CAIO PICCO LO814;1999;03/10/2013;diesel;
IMP/M.BENZ 310D SPRINTERM;1999;18/02/2014;diesel;
I/HYUNDAI H100 GLS;2002;08/10/2013;diesel;
PEUGEOT/BOXER 16 LUG;2004;19/02/2014;diesel;
MARCOPOLO/VOLARE;2002;09/01/2014;diesel;
FIAT/DUCATO MINIBUS;2007;27/12/2013;diesel;
PEUGEOT/BOXER 16 LUG;2005;23/01/2014;diesel;
FIAT/DUCACOMFFORMA MIC21;2009;16/01/2014;diesel;
I/KIA BESTA GS GRAND;2001;17/02/2014;diesel;
FIAT/DUCATO GUERRA MC 20;2010;15/02/2014;diesel;
FIAT/DUCATO GREENCAR MO1;2010;15/02/2014;diesel;
VW/CAIO CAROLV VW8140;1997;13/12/2013;diesel;
PEUGEOT/BOXER M330M 23S;2011;30/12/2013;diesel;
FIAT/DUCATO FABUSFORMA;2012;17/09/2013;diesel;
M.BENZ/OF 812;1994;02/05/2013;diesel;
FIAT/DUCATO MINIBUS;2010;29/01/2014;diesel;
PEUGEOT/BOXER M330M 23S;2011;26/09/2013;diesel;
FIAT/DUCACOMFFORMA MIC21;2008;07/11/2013;diesel;
MARCOPOLO/VOLARE LOTACAO;2001;04/02/2014;diesel;
PEUGEOT/BOXER FFBM 32;2006;03/10/2013;diesel;
I/M.BENZ311 RIBEIRO MO18;2009;26/11/2013;diesel;
I/HYUNDAI H100 GLS;2000;16/12/2013;diesel;
FIAT/DUCATO C REFAMMIC12;2003;09/09/2013;diesel;
IMP/M.BENZ 310D SPRINTERM;1998;27/06/2013;diesel;
