MODALIDADE;LICENÇA;TIPO_TERMO;NRO_TERMO;TIPO_ATUACAO
ESCOLAR;3300;Termo Permissão;3850;TITULAR
ESCOLAR;3400;Termo Permissão;3850;TITULAR
ESCOLAR;3600;Termo Permissão;3850;TITULAR
ESCOLAR;3800;Termo Permissão;3450;TITULAR
ESCOLAR;3900;Termo Permissão;3450;TITULAR
ESCOLAR;4400;Termo Permissão;3660;TITULAR
ESCOLAR;4600;Termo Permissão;3660;TITULAR
ESCOLAR;7800;Termo Permissão;2200;TITULAR
ESCOLAR;8400;Termo Permissão;1560;TITULAR
ESCOLAR;9000;Termo Permissão;1560;TITULAR
ESCOLAR;9400;Termo Permissão;3060;TITULAR
ESCOLAR;9500;Termo Permissão;3060;TITULAR
ESCOLAR;9600;Termo Permissão;3060;TITULAR
ESCOLAR;9700;Termo Permissão;3060;TITULAR
ESCOLAR;9800;Termo Permissão;3060;TITULAR
ESCOLAR;9900;Termo Permissão;3060;TITULAR
ESCOLAR;10000;Termo Permissão;3060;TITULAR
ESCOLAR;10100;Termo Permissão;3060;TITULAR
ESCOLAR;10200;Termo Permissão;3060;TITULAR
ESCOLAR;10300;Termo Permissão;3060;TITULAR
ESCOLAR;10400;Termo Permissão;3060;TITULAR
ESCOLAR;10500;Termo Permissão;3060;TITULAR
ESCOLAR;10600;Termo Permissão;3060;TITULAR
ESCOLAR;10700;Termo Permissão;3060;TITULAR
ESCOLAR;10800;Termo Permissão;3060;TITULAR
ESCOLAR;10900;Termo Permissão;3060;TITULAR
ESCOLAR;11000;Termo Permissão;3060;TITULAR
ESCOLAR;11200;Termo Permissão;3060;TITULAR
ESCOLAR;11400;Termo Permissão;3060;TITULAR
ESCOLAR;11800;Termo Permissão;3060;TITULAR
ESCOLAR;11900;Termo Permissão;3060;TITULAR
ESCOLAR;12000;Termo Permissão;3060;TITULAR
ESCOLAR;12600;Termo Permissão;1560;TITULAR
ESCOLAR;18200;Termo Permissão;2090;TITULAR
ESCOLAR;19300;Termo Permissão;2480;TITULAR
ESCOLAR;22000;Termo Permissão;2690;TITULAR
ESCOLAR;23000;Termo Permissão;3190;TITULAR
ESCOLAR;32300;Termo Permissão;1520;TITULAR
ESCOLAR;32500;Termo Permissão;1520;TITULAR
ESCOLAR;32600;Termo Permissão;1520;TITULAR
ESCOLAR;32700;Termo Permissão;1520;TITULAR
ESCOLAR;32800;Termo Permissão;1520;TITULAR
ESCOLAR;32900;Termo Permissão;1520;TITULAR
ESCOLAR;34600;Termo Permissão;1290;TITULAR
ESCOLAR;35200;Termo Permissão;1520;TITULAR
ESCOLAR;35300;Termo Permissão;1520;TITULAR
ESCOLAR;35400;Termo Permissão;1520;TITULAR
ESCOLAR;35500;Termo Permissão;1520;TITULAR
ESCOLAR;43300;Termo Permissão;1110;TITULAR
ESCOLAR;43400;Termo Permissão;1110;TITULAR
ESCOLAR;46700;Termo Permissão;2290;TITULAR
ESCOLAR;48900;Termo Permissão;4470;TITULAR
ESCOLAR;52100;Termo Permissão;1810;TITULAR
ESCOLAR;53900;Termo Permissão;2870;TITULAR
ESCOLAR;56500;Termo Permissão;1460;TITULAR
ESCOLAR;56600;Termo Permissão;1460;TITULAR
ESCOLAR;56700;Termo Permissão;1460;TITULAR
ESCOLAR;56800;Termo Permissão;1460;TITULAR
ESCOLAR;56900;Termo Permissão;1460;TITULAR
ESCOLAR;57000;Termo Permissão;1460;TITULAR
ESCOLAR;60100;Termo Permissão;4490;TITULAR
ESCOLAR;60300;Termo Permissão;4490;TITULAR
ESCOLAR;64700;Termo Permissão;1540;TITULAR
ESCOLAR;69100;Termo Permissão;4360;TITULAR
ESCOLAR;71200;Termo Permissão;4430;TITULAR
ESCOLAR;72600;Termo Permissão;1720;TITULAR
ESCOLAR;74300;Termo Permissão;1050;TITULAR
ESCOLAR;74800;Termo Permissão;1950;TITULAR
ESCOLAR;76000;Termo Permissão;3840;TITULAR
ESCOLAR;76100;Termo Permissão;3950;TITULAR
ESCOLAR;76400;Termo Permissão;3840;TITULAR
ESCOLAR;76500;Termo Permissão;3840;TITULAR
ESCOLAR;77500;Termo Permissão;3710;TITULAR
ESCOLAR;79000;Termo Permissão;2070;TITULAR
ESCOLAR;81700;Termo Permissão;3810;TITULAR
ESCOLAR;83600;Termo Permissão;1280;TITULAR
ESCOLAR;89000;Termo Permissão;3840;TITULAR
ESCOLAR;90100;Termo Permissão;1500;TITULAR
ESCOLAR;90200;Termo Permissão;1500;TITULAR
ESCOLAR;90300;Termo Permissão;1500;TITULAR
ESCOLAR;91900;Termo Permissão;3080;TITULAR
ESCOLAR;94400;Termo Permissão;2610;TITULAR
ESCOLAR;95400;Termo Permissão;4050;TITULAR
ESCOLAR;95600;Termo Permissão;3060;TITULAR
ESCOLAR;95800;Termo Permissão;2020;TITULAR
ESCOLAR;98100;Termo Permissão;1210;TITULAR
ESCOLAR;99600;Termo Permissão;2780;TITULAR
ESCOLAR;102200;Termo Permissão;3470;TITULAR
ESCOLAR;102300;Termo Permissão;3470;TITULAR
ESCOLAR;103900;Termo Permissão;3030;TITULAR
ESCOLAR;107500;Termo Permissão;4180;TITULAR
ESCOLAR;108400;Termo Permissão;3030;TITULAR
ESCOLAR;114400;Termo Permissão;3830;TITULAR
ESCOLAR;115700;Termo Permissão;3310;TITULAR
ESCOLAR;121500;Termo Permissão;1570;TITULAR
ESCOLAR;125300;Termo Permissão;1410;TITULAR
ESCOLAR;126200;Termo Permissão;4330;TITULAR
ESCOLAR;131200;Termo Permissão;3630;TITULAR
ESCOLAR;131800;Termo Permissão;1210;TITULAR
ESCOLAR;139900;Termo Permissão;4230;TITULAR
ESCOLAR;142700;Termo Permissão;3030;TITULAR
ESCOLAR;143600;Termo Permissão;1760;TITULAR
ESCOLAR;147900;Termo Permissão;4450;TITULAR
ESCOLAR;151600;Termo Permissão;4620;TITULAR
ESCOLAR;152100;Termo Permissão;4690;TITULAR
ESCOLAR;152800;Termo Permissão;4680;TITULAR
ESCOLAR;154300;Termo Permissão;4250;TITULAR
ESCOLAR;156300;Termo Permissão;1110;TITULAR
ESCOLAR;157600;Termo Permissão;3150;TITULAR
ESCOLAR;157700;Termo Permissão;3150;TITULAR
ESCOLAR;157800;Termo Permissão;3150;TITULAR
ESCOLAR;157900;Termo Permissão;3150;TITULAR
ESCOLAR;158000;Termo Permissão;3150;TITULAR
ESCOLAR;158100;Termo Permissão;3150;TITULAR
ESCOLAR;158200;Termo Permissão;3150;TITULAR
ESCOLAR;158300;Termo Permissão;3150;TITULAR
ESCOLAR;158400;Termo Permissão;3150;TITULAR
ESCOLAR;158800;Termo Permissão;3150;TITULAR
ESCOLAR;160300;Termo Permissão;3030;TITULAR
ESCOLAR;161900;Termo Permissão;1350;TITULAR
ESCOLAR;165000;Termo Permissão;2100;TITULAR
ESCOLAR;168400;Termo Permissão;1530;TITULAR
ESCOLAR;168900;Termo Permissão;4590;TITULAR
ESCOLAR;170300;Termo Permissão;2270;TITULAR
ESCOLAR;171800;Termo Permissão;4680;TITULAR
ESCOLAR;172200;Termo Permissão;3590;TITULAR
ESCOLAR;172300;Termo Permissão;3590;TITULAR
ESCOLAR;172700;Termo Permissão;3590;TITULAR
ESCOLAR;173200;Termo Permissão;2350;TITULAR
ESCOLAR;180800;Termo Permissão;1790;TITULAR
ESCOLAR;186600;Termo Permissão;1760;TITULAR
ESCOLAR;188200;Termo Permissão;2230;TITULAR
ESCOLAR;189200;Termo Permissão;4510;TITULAR
ESCOLAR;189300;Termo Permissão;1670;TITULAR
ESCOLAR;193500;Termo Permissão;3720;TITULAR
ESCOLAR;193600;Termo Permissão;3720;TITULAR
ESCOLAR;194000;Termo Permissão;3190;TITULAR
ESCOLAR;194400;Termo Permissão;1230;TITULAR
ESCOLAR;194800;Termo Permissão;3490;TITULAR
ESCOLAR;196600;Termo Permissão;4340;TITULAR
ESCOLAR;198700;Termo Permissão;3310;TITULAR
ESCOLAR;199100;Termo Permissão;3660;TITULAR
ESCOLAR;200200;Termo Permissão;3370;TITULAR
ESCOLAR;200300;Termo Permissão;3370;TITULAR
ESCOLAR;200400;Termo Permissão;3060;TITULAR
ESCOLAR;201300;Termo Permissão;4480;TITULAR
ESCOLAR;201500;Termo Permissão;1460;TITULAR
ESCOLAR;205100;Termo Permissão;3370;TITULAR
ESCOLAR;208100;Termo Permissão;1370;TITULAR
ESCOLAR;208200;Termo Permissão;2830;TITULAR
ESCOLAR;210300;Termo Permissão;3740;TITULAR
ESCOLAR;211500;Termo Permissão;1520;TITULAR
ESCOLAR;213600;Termo Permissão;3880;TITULAR
ESCOLAR;221500;Termo Permissão;3940;TITULAR
ESCOLAR;226500;Termo Permissão;2810;TITULAR
ESCOLAR;228100;Termo Permissão;2080;TITULAR
ESCOLAR;229700;Termo Permissão;1340;TITULAR
ESCOLAR;229800;Termo Permissão;1340;TITULAR
ESCOLAR;229900;Termo Permissão;1340;TITULAR
ESCOLAR;230000;Termo Permissão;1340;TITULAR
