LOCAL_PONTO;NRO_PONTO;SITUACAO;TIPO;CATEGORIA;ENDEREÇO;NRO;CEP;CODLOG;REGIAO;SUBPREFEITURA
0;;ATIVO;LIVRE;COMUM;ALVARO DE CARVALHO DR, R.;23;1050070;8800;CENTRO OESTE;SE
27;;ATIVO;LIVRE;COMUM;ARIOVALDO RODRIGUES RAMALHO, R.;322;4940090;731137;SUL;M'BOI MIRIM
60;;ATIVO;LIVRE;COMUM;ALVARO RAMOS, AV.;86;3058060;9067;LESTE;MOOCA
78;;ATIVO;LIVRE;COMUM;BERNARDA LUIZ, R.;257;5448020;32654;OESTE;PINHEIROS
86;;ATIVO;LIVRE;COMUM;CAMPOS SALES, R.;58;4751010;189260;SUL;SANTO AMARO
124;;ATIVO;LIVRE;COMUM;CASPER LÍBERO, AV.;490;1033000;45411;CENTRO OESTE;SE
132;;ATIVO;LIVRE;COMUM;RUA DE ACESSO AO CEMITÉRIO DA 4ª PARADA.;25;3303010;377279;LESTE;MOOCA
140;;ATIVO;LIVRE;COMUM;ANTONIO CARLOS, R.;106;1309010;16160;OESTE;SE
159;;ATIVO;LIVRE;COMUM;ANTONIO BARBOSA DA CUNHA DR, R.;182;5790210;212750;OESTE;CAMPO LIMPO
167;;ATIVO;LIVRE;COMUM;ALVARO RODRIGUES, R.;323;4582000;9083;SUL;PINHEIROS
1040014;1543;ATIVO;PRIVATIVO;COMUM;MILTON RODRIGUES PROFº, R. ( ANHEMBÍ );265;2009040;226629;NORTE;SANTANA/TUCURUVI
1040031;1033;EXTINTO;PRIVATIVO;LUXO;MILTON RODRIGUES PROFº, R.( ANHEMBÍ);265;2009040;226629;NORTE;SANTANA/TUCURUVI
1040049;;ATIVO;LIVRE;ESPECIAL;MILTON RODRIGUES PROFº, R.;450;2009040;226629;NORTE;SANTANA/TUCURUVI
1040065;1847;ATIVO;PRIVATIVO;COMUM;AFONSO PENA, R.;353;1124000;2836;CENTRO OESTE;SE
