id_falha;nome;prioridade;familia
500;OUTRA FALHA SEMAFÓRICA;2;Semáforos
501;REFIS / REIFEX DANIFICADO;3;Registradores
502;LÂMPADA DE TRAVESSIA QUEIMADA;3;Travessias
503;CONJUNTO DE ILUMINAÇÃO DE TRAVESSIA DANIFICADO;3;Travessias
504;PLACA LOS ANGELES DANIFICADA;3;Travessias
511;FALHA CFTV CENTRAL / SEGURANÇA;3;Central CFTV
512;FALHA DE CAMERA CFTV, FIBRA ÓPTICA E RÁDIO;3;Câmeras
513;FALHA S/INTERFERÊNCIA NA IMAGEM DAS CAMERAS;3;Central CFTV
514;OUTRAS FALHAS CFTV;3;Câmeras
520;FALHA DE NOBREAK;2;Nobreak
530;RECUPERAÇÃO SISTEMA SEMAFÓRICO;3;Semáforos
554;LAÇO DETECTOR DANIFICADO;3;Semáforos
555;CONTROLADOR FORA MODO CENTRAL;2;Semáforos
556;VENTILADOR COM FALHA;2;Semáforos
557;CONTROLADOR COM FALHA DE DISPLAY;2;Semáforos
558;CONTROLADOR COM FALHA DE PROGRAMAÇÃO;2;Semáforos
559;CONTROLADOR COM FALHA PAINEL DE FACILIDADES;2;Semáforos
560;CONTROLADOR COM FALHA DE COMUNICAÇÃO;2;Semáforos
561;SEMÁFORO APAGADO;1;Semáforos
562;SEMÁFORO EMBANDEIRADO;1;Semáforos
563;SEMÁFORO ESTACIONADO;1;Semáforos
564;SEMÁFORO CONFLITANTE;1;Semáforos
565;SEMÁFORO EM AMARELO INTERMITENTE;1;Semáforos
566;SEMCO/CTA COM FALHA;2;Semáforos
567;SEMÁFORO COM FASE INVERTIDA;1;Semáforos
568;FIAÇÃO PARTIDA;1;Semáforos
569;SEMÁFORO COM FASE APAGADA;1;Semáforos
570;PISCANTE APAGADO;2;Semáforos
571;COLUNA SEMAFÓRICA DANIFICADA;1;Semáforos
572;CONTROLADOR DANIFICADO;1;Semáforos
573;COLUNA SEMAFÓRICA ENERGIZADA;1;Semáforos
574;CONTROLADOR COM DEFEITO MAGNETICO;1;Semáforos
575;FIAÇÃO DO CONTROLADOR DANIFICADA;2;Semáforos
576;SEMÁFORO SEM SINCRONISMO;1;Semáforos
577;GRUPO FOCAL DANIFICADO;2;Semáforos
578;BOTOEIRA QUEBRADA;1;Semáforos
579;GRUPO FOCAL FORA DE POSIÇÃO;2;Semáforos
580;FALTA ANTEPARO;2;Semáforos
581;FALTA COBRE FOCO;2;Semáforos
582;LENTE DANIFICADA;2;Semáforos
583;FALTA BOTOEIRA;2;Semáforos
584;FALTA GRUPO FOCAL;1;Semáforos
585;LÂMPADA SEMAFÓRICA QUEIMADA;2;Semáforos
586;CONTROLADOR ABERTO;1;Semáforos
587;BRAÇO PROJETADO FORA DE POSIÇÃO;2;Semáforos
588;COLUNA SOLTA;2;Semáforos
589;FECHADURA QUEBRADA;2;Semáforos
590;ANTEPARO SOLTO;1;Semáforos
591;FIAÇÃO BAIXA;2;Semáforos
592;GRUPO FOCAL ABERTO;2;Semáforos
593;CAIXA DE PASSAGEM SEM TAMPA;2;Semáforos
598;COLUNA TRAVESSIA DANIFICADA;3;Travessias
599;OUTRA FALHA TRAVESSIA ILUMINADA;3;Travessias
700;DETECTOR DE ALTURA DANIFICADO;3;Detectores
701;DETECTOR DE ENCHENTES DANIFICADO;3;Detectores
799;OUTRA FALHA REFIS / REIFEX;3;Registradores
800;REGISTRADOR FOTOGRAFICO REIFEX INOPERANTE;3;Registradores
900;REGISTRADOR FOTOGRAFICO REFIS INOPERANTE;3;Registradores
