id_local;local;subprefeitura;distrito;latitude;longitude
1;QUEIROS TELES, AV ENG x SILVESTRE LOPES, R;BUTANTÃ;RIO PEQUENO;-23,571624;-46,778914
2;QUEIROS TELES, AV ENG - (N 1015 - PROX. R.  BARONE MERCADANTE);BUTANTÃ;RIO PEQUENO;-23,575084;-46,779839
3;QUEIROS TELES, AV ENG x MANUEL MARTINS COLLACO, R;BUTANTÃ;RIO PEQUENO;-23,572977;-46,779339
4;JOAQUIM LAPAS VEIGA, R x ANTONIO RAMIRO DA SILVA, AV;BUTANTÃ;RAPOSO TAVARES;-23,578711;-46,778342
5;HEITOR ANTONIO EIRAS GARCIA, AV ENG - (N 7060);BUTANTÃ;RAPOSO TAVARES;-23,603849;-46,787343
6;CAMPO LIMPO, ES DO x CARLOS LACERDA, AV x JOAO BATISTA REIMAO, R DR x JOVIANO PACHECO DE AGUIRRE, R DR;CAMPO LIMPO;CAMPO LIMPO;-23,633767;-46,773527
7;JOVIANO PACHECO DE AGUIRRE, R DR x AMERICO TRABULSI, R - (N 270);CAMPO LIMPO;CAMPO LIMPO;-23,63397;-46,775957
8;CARLOS LACERDA, AV - (N 227 - R. LOUIS BREA  ALT. Nº 243);CAMPO LIMPO;CAMPO LIMPO;-23,635128;-46,775803
9;PIRAJUSSARA-VALO VELHO, ES x AUGUSTO BARBOSA TAVARES, AV;CAMPO LIMPO;CAMPO LIMPO;-23,641655;-46,785005
10;CARLOS LACERDA, AV x PIRAJUSSARA-VALO VELHO, ES;CAMPO LIMPO;CAMPO LIMPO;-23,639029;-46,779867
11;CARLOS LACERDA, AV - (N 1286);CAMPO LIMPO;CAMPO LIMPO;-23,642462;-46,779803
12;CARLOS LACERDA, AV x JANUARIO DA CUNHA BARBOSA, R x MILAGRES, R DOS;CAMPO LIMPO;CAMPO LIMPO;-23,636589;-46,778147
13;CARLOS LACERDA, AV x AJURUETE, R x FELGUEIRAS, R;CAMPO LIMPO;CAMPO LIMPO;-23,642211;-46,77987
14;CARLOS LACERDA, AV x FREDERICO CONSOLO, R x PEIXOTO DA SILVA, R REV;CAMPO LIMPO;CAMPO LIMPO;-23,648086;-46,779025
15;CARLOS LACERDA, AV - (N 1628 - 1607/1610 - COLEGIO  OMEGA);CAMPO LIMPO;CAMPO LIMPO;-23,646039;-46,779311
17;CARLOS LACERDA, AV - (N 2179 - R. RAFAEL  PORTANTE);CAMPO LIMPO;CAMPO LIMPO;-23,651042;-46,778877
18;CARLOS LACERDA, AV x NAINPUR, R - (N 2290);CAMPO LIMPO;CAPAO REDONDO;-23,651615;-46,778484
20;CARLOS LACERDA, AV x ITAPECERICA, ES DE;CAMPO LIMPO;CAPAO REDONDO;-23,659506;-46,774707
21;CARLOS LACERDA, AV - (N 2653);CAMPO LIMPO;CAPAO REDONDO;-23,636438;-46,777988
22;CARLOS LACERDA, AV - (N 3056);CAMPO LIMPO;CAPAO REDONDO;-23,657593;-46,775905
23;CARLOS LACERDA, AV - (N 2907 - PROX.R. MARIA GOMES DA SILVA E R. MANOEL CARDOSO DE ABREU);CAMPO LIMPO;CAMPO LIMPO;-23,656601;-46,77639
24;RODRIGO SANCHES, AV DOM - (N 749);CAMPO LIMPO;CAPAO REDONDO;-23,661254;-46,786364
25;ITAPECERICA, ES DE x RODRIGO SANCHES, AV DOM;CAMPO LIMPO;CAPAO REDONDO;-23,661865;-46,779566
26;ITAPECERICA, ES DE x FELIPE CARRILLO PUERTO, AV x JERONIMO GRANERO GARCIA, R PAST;CAMPO LIMPO;CAPAO REDONDO;-23,666926;-46,783578
27;RODRIGO SANCHES, AV DOM - (N 312);CAMPO LIMPO;CAPAO REDONDO;-23,661735;-46,783564
29;ITAPECERICA, ES DE x DOMINGOS PEIXOTO DA SILVA, R - (N 5072);CAMPO LIMPO;CAPAO REDONDO;-23,660095;-46,776606
30;ITAPECERICA, ES DE x ANTONIO MAXIMIANO DA SILVA, R x JOSE MARIA DA SILVA VELHO, R ENG;CAMPO LIMPO;CAPAO REDONDO;-23,674126;-46,787939
32;ITAPECERICA, ES DE x SILVIA DE FARIA MARCONDES, R x SAFRA, R DA;CAMPO LIMPO;CAPAO REDONDO;-23,671476;-46,786909
34;ITAPECERICA, ES DE x FEITICO DA VILA, R x COSTA DA CASTANHEIRA, R;CAMPO LIMPO;CAPAO REDONDO;-23,685115;-46,800235
35;ITAPECERICA, ES DE - (N 7980 - R.ANDORINHA DOS BEIRAIS / R. TAJAL);CAMPO LIMPO;CAPAO REDONDO;-23,677654;-46,793982
37;M BOI MIRIM, ES x MANOEL LOPES, PC - (N 4051);M'BOI MIRIM;JARDIM ANGELA;-23,687392;-46,771822
38;M BOI MIRIM, ES - (N 6580 - P.S.DIEGO, ALT Nº 6489 (B/C e C/B));M'BOI MIRIM;JARDIM ANGELA;-23,702355;-46,78302
39;M BOI MIRIM, ES - (N 7815 - MOTEL);M'BOI MIRIM;JARDIM ANGELA;-23,709299;-46,783736
40;M BOI MIRIM, ES - (N 7991 - PROX. R. MANTUÁ);M'BOI MIRIM;JARDIM ANGELA;-23,712882;-46,781864
41;M BOI MIRIM, ES x BARONESA, ES DA;M'BOI MIRIM;JARDIM ANGELA;-23,71789;-46,784079
42;M BOI MIRIM, ES - (N 8829 - B/C - PROXIMO A RUA CLAMECY);M'BOI MIRIM;JARDIM ANGELA;-23,712461;-46,782155
46;M BOI MIRIM, ES x CACHOEIRINHA, ES DA;M'BOI MIRIM;JARDIM ANGELA;-23,722335;-46,785182
48;M BOI MIRIM, ES - (N 8541);M'BOI MIRIM;JARDIM ANGELA;-23,706541;-46,784465
49;M BOI MIRIM, ES - (N 10010 - B-C);M'BOI MIRIM;JARDIM ANGELA;-23,722218;-46,785164
