numenc;descricao
1110177135;REGULAMENTA ESTACIONAMENTO
1110179138;REGULAMENTA ESTACIONAMENTO
1110179138;SINALIZACAO SERVICOS/EDUCATIVA
1110179138;SINALIZAÇAO DE ADVERTENCIA
1310001146;PAIRE ESCOLA
1310065136;REGULAMENTA/ALTERA CIRCULACAO
1310065136;REGULAMENTA ESTACIONAMENTO
1310065136;REGULAMENTA VELOCIDADE
1310065136;PAIRE MOTO
1310065136;PROJETO GEOMETRICO
1310065136;PONTO TAXI
1310065136;ZONA AZUL
1310065136;PAIRE ONIBUS
1310065136;VAGAS IMPLANTADAS DE ZONA AZUL-CAMINHAO
1310065136;ZONA AZUL / IDOSO
1510011110;REGULAMENTA/ALTERA CIRCULACAO
1510013113;REGULAMENTA/ALTERA CIRCULACAO
1510059091;RESTRIÇAO FISICA
1510076123;PAIRE FARMACIA
1510076123;ZONA AZUL
1510081127;PAIRE ESCOLA
1510126112;REGULAMENTA ESTACIONAMENTO
1510145087;REGULAMENTA ESTACIONAMENTO
1510145087;REGULAMENTA CARGA/DESCARGA
1610046129;REGULAMENTA CARGA/DESCARGA
1610063120;REGULAMENTA ESTACIONAMENTO
1610070127;REGULAMENTA ESTACIONAMENTO
1710063122;REGULAMENTA ESTACIONAMENTO
1710115092;PAIRE ESCOLA
1710119098;TRAVESSIA DE PEDESTRES ILUMINADA
1710121092;TRAVESSIA DE PEDESTRES ILUMINADA
1710122099;TRAVESSIA DE PEDESTRES ILUMINADA
1710123095;TRAVESSIA DE PEDESTRES ILUMINADA
1710124091;TRAVESSIA DE PEDESTRES ILUMINADA
1710125098;TRAVESSIA DE PEDESTRES ILUMINADA
1710126094;TRAVESSIA DE PEDESTRES ILUMINADA
1710129093;TRAVESSIA DE PEDESTRES ILUMINADA
1710130091;TRAVESSIA DE PEDESTRES ILUMINADA
1710131098;TRAVESSIA DE PEDESTRES ILUMINADA
1710132094;TRAVESSIA DE PEDESTRES ILUMINADA
1710133090;TRAVESSIA DE PEDESTRES ILUMINADA
1710134097;TRAVESSIA DE PEDESTRES ILUMINADA
1710135093;TRAVESSIA DE PEDESTRES ILUMINADA
1710139099;TRAVESSIA DE PEDESTRES ILUMINADA
1710140097;TRAVESSIA DE PEDESTRES ILUMINADA
1710141093;TRAVESSIA DE PEDESTRES ILUMINADA
1710143096;TRAVESSIA DE PEDESTRES ILUMINADA
1710144092;TRAVESSIA DE PEDESTRES ILUMINADA
1710146095;TRAVESSIA DE PEDESTRES ILUMINADA
1710151099;TRAVESSIA DE PEDESTRES ILUMINADA
1710152095;TRAVESSIA DE PEDESTRES ILUMINADA
1710156090;TRAVESSIA DE PEDESTRES ILUMINADA
1710157097;TRAVESSIA DE PEDESTRES ILUMINADA
1710158093;TRAVESSIA DE PEDESTRES ILUMINADA
1710159090;TRAVESSIA DE PEDESTRES ILUMINADA
1710160098;TRAVESSIA DE PEDESTRES ILUMINADA
1710164085;REGULAMENTA ESTACIONAMENTO
1710164085;PROJETO GEOMETRICO
1910005053;SEMAFORO ELETRONICO
1910015067;SEMAFORO ELETRONICO
1910022055;SEMAFORO ELETRONICO
1910026093;SEMAFORO ELETRONICO
1910029076;SEMAFORO ELETRONICO
1910041122;SEMAFORO ELETRONICO
1910046060;SEMAFORO ELETRONICO
1910048062;SEMAFORO ELETRONICO
1910051098;SEMAFORO ELETRONICO
1910057053;SEMAFORO ELETRONICO
1910058050;SEMAFORO ELETRONICO
1910067059;SEMAFORO ELETRONICO
1910071056;SEMAFORO ELETRONICO
1910074055;SEMAFORO ELETROMECANICO
1910092096;SEMAFORO ELETRONICO
1910107093;SEMAFORO ELETRONICO
1910107093;PROJETO DE SEGURANÇA - PEDESTRE
1910121096;SEMAFORO ELETRONICO
1910127078;PROJETO DE SEGURANÇA - PEDESTRE
1910127108;SEMAFORO ELETRONICO
1910146064;SEMAFORO ELETRONICO
1910148067;SEMAFORO ELETRONICO
1910165069;SEMAFORO ELETRONICO
1910178063;SEMAFORO ELETRONICO
1910183067;SEMAFORO ELETRONICO
1910192066;SEMAFORO ELETRONICO
1910202061;SEMAFORO ELETRONICO
1910206067;SEMAFORO ELETRONICO
1910225061;SEMAFORO ELETRONICO
1910228060;SEMAFORO ELETRONICO
1910229067;SEMAFORO ELETRONICO
2110003146;HORIZ.SIST.VIARIO SECUNDARIO
2110004142;HORIZ.SIST.VIARIO SECUNDARIO
2110004142;PAIRE ESCOLA
2110006145;PROJETO GEOMETRICO
2110007141;REGULAMENTA ESTACIONAMENTO
2110008148;REGULAMENTA ESTACIONAMENTO
2110009144;REGULAMENTA ESTACIONAMENTO
2110010142;REGULAMENTA ESTACIONAMENTO
2110012145;REGULAMENTA ESTACIONAMENTO
2110016140;REGULAMENTA/ALTERA CIRCULACAO
2110019140;REGULAMENTA ESTACIONAMENTO
2110020148;REGULAMENTA PREFERENCIAL
2110022140;SINALIZACAO SERVICOS/EDUCATIVA
2110023147;HORIZ.SIST.VIARIO SECUNDARIO
2110023147;PAIRE ESCOLA
2110026146;REGULAMENTA ESTACIONAMENTO
2110026146;HORIZ.SIST.VIARIO SECUNDARIO
2110026146;PAIRE ESCOLA
2110026146;PROJETO DE SEGURANÇA
2110027142;REGULAMENTA ESTACIONAMENTO
2110027142;HORIZ.SIST.VIARIO SECUNDARIO
2110028149;HORIZ.SIST.VIARIO SECUNDARIO
2110028149;PROJETO DE SEGURANÇA
2110029145;SINALIZAÇAO DE ADVERTENCIA
2110030143;SINALIZAÇAO DE ADVERTENCIA
2110032146;REGULAMENTA/ALTERA CIRCULACAO
2110034149;REGULAMENTA ESTACIONAMENTO
2110065133;REGULAMENTA ESTACIONAMENTO
2110071133;HORIZ.SIST.VIARIO SECUNDARIO
2110071133;DISPOSITIVOS AUXILIARES
2110077131;REGULAMENTA ESTACIONAMENTO
2110085134;REGULAMENTA PREFERENCIAL
2110085134;HORIZ.SIST.VIARIO SECUNDARIO
2110085134;PROJETO DE SEGURANÇA - PEDESTRE
2110085134;DISPOSITIVOS AUXILIARES
2110087137;HORIZ.SIST.VIARIO SECUNDARIO
2110088133;REGULAMENTA ESTACIONAMENTO
2110089130;PAIRE ONIBUS
2110090138;REGULAMENTA ESTACIONAMENTO
2110091134;SINALIZAÇAO DE ADVERTENCIA
2110091134;PROJETO DE SEGURANÇA
2110093137;REGULAMENTA ESTACIONAMENTO
2110093137;HORIZ.SIST.VIARIO SECUNDARIO
2110093137;PAIRE ESCOLA
2110096136;SINALIZAÇAO DE ADVERTENCIA
2110097132;REGULAMENTA VELOCIDADE
2110098139;REGULAMENTA PREFERENCIAL
2110098139;SINALIZAÇAO DE ADVERTENCIA
2110098139;PROJETO DE SEGURANÇA
2110099135;REGULAMENTA ESTACIONAMENTO
2110099135;HORIZ.SIST.VIARIO SECUNDARIO
2110099135;PROJETO DE SEGURANÇA
2110099135;DISPOSITIVOS AUXILIARES
2110103132;PROJETO DE SEGURANÇA - PEDESTRE
2110103132;DISPOSITIVOS AUXILIARES
2110114134;REGULAMENTA ESTACIONAMENTO
2110114134;SINALIZAÇAO DE ADVERTENCIA
2110114134;PAIRE ESCOLA
2110116137;SINALIZAÇAO DE ADVERTENCIA
2110117133;SINALIZAÇAO DE ADVERTENCIA
2110121130;REGULAMENTA ESTACIONAMENTO
2110121130;HORIZ.SIST.VIARIO SECUNDARIO
2110121130;PAIRE ESCOLA
2110124130;HORIZ.SIST.VIARIO SECUNDARIO
2110124130;PROJETO DE SEGURANÇA
2110124130;DISPOSITIVOS AUXILIARES
2110125136;REGULAMENTA ESTACIONAMENTO
2110125136;SINALIZAÇAO DE ADVERTENCIA
2110125136;HORIZ.SIST.VIARIO SECUNDARIO
2110125136;PROJETO DE SEGURANÇA
2110126132;REGULAMENTA/ALTERA CIRCULACAO
2110127139;REGULAMENTA ESTACIONAMENTO
2110128135;REGULAMENTA ESTACIONAMENTO
2110129131;REGULAMENTA ESTACIONAMENTO
