numenc;grupo;material;servico;descricao_servico;unidade_medida;qtde_prevista
1110177135;COLUNAS;"COLUNA SIMPLES ( POSTE PROPRIO ) - COL 2 1/2"" X 3.60 M";retirar;RETIRAR;pc;1.00
1110177135;ESPECIAIS,PLACAS;Seja Breve no Embarque e Desembarque;retirar;RETIRAR;un;2.00
1110177135;REGULAMENTACAO, PLACAS DE;PROIBIDO ESTACIONAR;colocar;COLOCAR;un;1.00
1110177135;REGULAMENTACAO, PLACAS DE;PROIBIDO ESTACIONAR -INICIO;retirar;RETIRAR;un;1.00
1110177135;REGULAMENTACAO, PLACAS DE;Proibido Estacionar - 2ª a 6ª - 01 horário - Término;colocar;COLOCAR;un;1.00
1110177135;REGULAMENTACAO, PLACAS DE;Proibido Estacionar - 2ª a 6ª com 01 horário;retirar;RETIRAR;un;2.00
1110179138;ADVERTENCIA,PLACAS DE;Área Escolar;colocar;COLOCAR;un;2.00
1110179138;COLUNAS;"COLUNA SIMPLES ( POSTE PROPRIO ) - COL 2 1/2"" X 3.60 M";colocar;COLOCAR;pc;3.00
1110179138;ESPECIAIS,PLACAS;Seja Breve no Embarque e Desembarque;colocar;COLOCAR;un;1.00
1110179138;REGULAMENTACAO, PLACAS DE;PROIBIDO ESTACIONAR;colocar;COLOCAR;un;1.00
1110179138;REGULAMENTACAO, PLACAS DE;PROIBIDO ESTACIONAR -INICIO;colocar;COLOCAR;un;1.00
1110179138;REGULAMENTACAO, PLACAS DE;Proibido Estacionar - Término;colocar;COLOCAR;un;1.00
1310001146;COLUNAS;"COLUNA SIMPLES ( POSTE PROPRIO ) - COL 2 1/2"" X 3.60 M";colocar;COLOCAR;pc;1.00
1310001146;REGULAMENTACAO, PLACAS DE;ESTACIONAMENTO REGULAMENTADO - NA LINHA BRANCA - VEICULO ESCOLAR - COM 01 HORARIO;retirar;RETIRAR;un;1.00
1310001146;REGULAMENTACAO, PLACAS DE;ESTACIONAMENTO REGULAMENTADO - ONIBUS OU PERUA ESCOLAR COM 1 HORARIO 2ª A 6ª;colocar;COLOCAR;un;2.00
1310001146;TINTA A FRIO;TINTA A FRIO;pint fxl;PINTAR FAIXAS E LINHAS;m2;8.92
1310001146;TINTA A FRIO;TINTA A FRIO;apagar;APAGAR;m2;7.00
1310001146;TINTA A FRIO;TINTA A FRIO;pint slg;PINTAR SIMBOLOS E LEGENDAS;m2;8.02
1310065136;BRAÇOS;"BANDEIRA SIMPLES ( ALTURA LIVRE = 4,5 M ) - BR PR 3"" X 3.15 M";remanejar;REMANEJAR;un;1.00
1310065136;COLUNAS;"BANDEIRA SIMPLES ( ALTURA LIVRE = 4,5 M ) - COL 4"" X 5.25 M";remanejar;REMANEJAR;pc;1.00
1310065136;COLUNAS;"COLUNA SIMPLES ( POSTE PROPRIO ) - COL 2 1/2"" X 3.60 M";colocar;COLOCAR;pc;2.00
1310065136;COLUNAS;"COLUNA SIMPLES ( POSTE PROPRIO ) - COL 2 1/2"" X 3.60 M";retirar;RETIRAR;pc;2.00
1310065136;ESPECIAIS,PLACAS;Área de Velocidade Reduzida - horizontal;remanejar;REMANEJAR;un;1.00
1310065136;REGULAMENTACAO, PLACAS DE;PROIBIDO PARAR E ESTACIONAR - PERMITIDO EMBARQUE E DESEMBARQUE - ONIBUS;colocar;COLOCAR;un;3.00
1310065136;REGULAMENTACAO, PLACAS DE;ESTACIONAMENTO REGULAMENTADO -  NA LINHA BRANCA -TAXI COMUM- PONTO XXXX - XX VAGAS;reposic;REPOSICIONAR;un;1.00
1310065136;REGULAMENTACAO, PLACAS DE;ESTACIONAMENTO REGULAMENTADO - OBRIGATORIO CARTÃO AZUL - COM HORARIO;reposic;REPOSICIONAR;un;2.00
1310065136;REGULAMENTACAO, PLACAS DE;Estacionamento Regulamentado - Na Linha Branca - Caminhão, Caminhonete e Veículo Misto Obrigatório Cartão Azul - 30 min - 1 cartão - 1h - 2 cartões - 2ª a 6ª - 01 horário - Sábado - 01 horário;reposic;REPOSICIONAR;un;1.00
1310065136;REGULAMENTACAO, PLACAS DE;Estacionamento Regulamentado - Na Linha Branca - Motocicleta;reposic;REPOSICIONAR;un;1.00
1310065136;REGULAMENTACAO, PLACAS DE;Estacionamento Regulamentado-Na linha Branca-Exclusivo Idoso - Qualquer Hora;reposic;REPOSICIONAR;un;1.00
1310065136;REGULAMENTACAO, PLACAS DE;PROIBIDO PARAR E ESTACIONAR - EXCETO ONIBUS;retirar;RETIRAR;un;1.00
1310065136;REGULAMENTACAO, PLACAS DE;PROIBIDO PARAR E ESTACIONAR - INICIO;retirar;RETIRAR;un;2.00
1310065136;REGULAMENTACAO, PLACAS DE;PROIBIDO PARAR E ESTACIONAR - INICIO;colocar;COLOCAR;un;1.00
1310065136;REGULAMENTACAO, PLACAS DE;PROIBIDO PARAR E ESTACIONAR - TERMINO;remanejar;REMANEJAR;un;1.00
1310065136;REGULAMENTACAO, PLACAS DE;PROIBIDO PARAR E ESTACIONAR - TERMINO;retirar;RETIRAR;un;1.00
1310065136;REGULAMENTACAO, PLACAS DE;PROIBIDO PARAR E ESTACIONAR - TERMINO;colocar;COLOCAR;un;1.00
1310065136;REGULAMENTACAO, PLACAS DE;SENTIDO DE CIRCULAÇÃO DA VIA / PISTA;colocar;COLOCAR;un;1.00
