numenc;local
1110177135;R   VICHY  ENTRE  R NOVA GRANADA E  AV BARUEL
1110179138;R   BERNARDINO FANGANIELLO  - N.149
1310001146;R   JOAO GUIMARAES ROSA  - N.135
1310065136;R   RISKALLAH JORGE  ENTRE  R BRIG TOBIAS E  AV PRESTES MAIA
1510011110;R   ROBERTO SIMONSEN  X  R FLORIANO PEIXOTO
1510013113;R   ROBERTO SIMONSEN  X  R FLORIANO PEIXOTO
1510059091;AV  DA ACLIMACAO  - N.818
1510076123;R MONS  ANACLETO  - N.46
1510081127;R   FERNANDES SILVA  - N.81
1510126112;R  DO LUCAS  - N.111
1510145087;R   JOSE GETULIO  - N.142
1610046129;R   BAHIA  - N.91
1610063120;R STA  IFIGENIA  - N.460
1610070127;R   MARTINICO PRADO  - N.463
1710060107;AV   EUROPA  - N.158
1710063122;R   LEOPOLDO COUTO MAGALHAES JR.  - N.748
1710115092;R DR  MARIO FERRAZ  - N.70
1710116099;R DR  MARIO FERRAZ  - N.70
1710119098;R   JOAO CACHOEIRA  X  R PEDROSO ALVARENGA
1710121092;R   URUSSUI  ENTRE  R TABAPUA E  R JOAQUIM FLORIANO
1710122099;R   JOAO CACHOEIRA  ENTRE  R JESUINO ARRUDA E  R TABAPUA
1710123095;R   URUSSUI  X  R LEOPOLDO COUTO MAGALHAES JR.
1710124091;R   LEOPOLDO COUTO MAGALHAES JR.  X  R PROF ATILIO INNOCENTI
1710125098;R DR  MARIO FERRAZ  X  AV CIDADE JARDIM
1710126094;R   LEOPOLDO COUTO MAGALHAES JR.  X  R CLODOMIRO AMAZONAS
1710129093;AV   CIDADE JARDIM  ENTRE  R ARACARI E  R AMAURI
1710130091;R   BANDEIRA PAULISTA  X  R PEDROSO ALVARENGA
1710131098;R   MARIA ROSA  X  R TABAPUA
1710131098;R   LOPES NETO  ENTRE  R TABAPUA E  R COJUBA
1710132094;R   LEOPOLDO COUTO MAGALHAES JR.  X  R BANDEIRA PAULISTA
1710133090;R   SALVADOR CARDOSO  ENTRE  R TABAPUA E  AV HORACIO LAFER
1710134097;R   BANDEIRA PAULISTA  ENTRE  R JESUINO ARRUDA E  R TABEROE
1710135093;R PROF  TAMANDARE TOLEDO  ENTRE  R DR RENATO PAES DE BARROS E  R BANDEIRA PAULISTA
1710139099;AV   HORACIO LAFER  ENTRE  R JUSSEAPE E  R LOPES NETO
1710140097;R DR  RENATO PAES DE BARROS  X  R PEDROSO ALVARENGA
1710141093;R   JERONIMO DA VEIGA  ENTRE  R ANDRE FERNANDES E  R EMANUEL KANT
1710143096;R   PEDROSO ALVARENGA  ENTRE  R CAMPOS BICUDO E  R ANDRE FERNANDES
1710144092;R DR  MARIO FERRAZ  X  R TUCUMA
1710146095;R   PAIS DE ARAUJO  X  R TABAPUA
1710151099;R   JERONIMO DA VEIGA  X  R MANUEL GUEDES
1710152095;R   MANUEL GUEDES  ENTRE  R JOAQUIM FLORIANO E  R TABAPUA
1710156090;AV   NOVE DE JULHO  X  R JOAO CACHOEIRA
1710157097;R   JERONIMO DA VEIGA  X  AV S GABRIEL
1710158093;R PROF  ATILIO INNOCENTI  X  AV HORACIO LAFER
1710159090;R   MANUEL GUEDES  X  R PEDROSO ALVARENGA
1710160098;R DR  MARIO FERRAZ  X  R PROF ARTUR RAMOS
1710164085;AV  DAS NACOES UNIDAS  X  R OFELIA
1910005053;R   DOMINGOS DE MORAIS  X  R ECA DE QUEIROZ
1910015067;AV STO  AMARO  X  AV BRIG LUIS ANTONIO
1910022055;PC   FERNANDO COSTA  X  R VINTE E CINCO DE MARCO
1910026093;R   SERGIO TOMAS  - N.710
1910029076;AV BRIG  LUIS ANTONIO  X  R PEDROSO
1910041122;AV   NOVE DE JULHO  X  AL LORENA
1910046060;AV   NOVE DE JULHO  X  AV BRASIL
1910048062;AV S  GABRIEL  X  AV NOVE DE JULHO
1910051098;AV   RUDGE  X  R VISC DE TAUNAY
1910055093;R   SOLON  - N.1018
1910057053;AV GAL  OLIMPIO DA SILVEIRA  X  AV ANGELICA
1910058050;AL   GLETE  X  AV S JOAO
1910067059;R   JOSE PAULINO  X  R RIBEIRO DE LIMA
1910071056;AV BRIG  LUIS ANTONIO  X  R MAJ DIOGO
1910074055;R   TUTOIA  X  R DR RAFAEL DE BARROS
1910092096;AV BRIG  LUIS ANTONIO  X  R HUMAITA
1910107093;R   BOA VISTA  - N.51
1910107093;R   BOA VISTA  X  R TRES DE DEZEMBRO
1910121096;R   BOA VISTA  X  R TRES DE DEZEMBRO
1910121096;R   BOA VISTA  X  LD PORTO GERAL
1910121096;R   BOA VISTA  - N.51
1910121096;R   BOA VISTA  X  R FLORENCIO DE ABREU
1910127078;R S  CARLOS DO PINHAL  X  AL RIO CLARO
1910127108;AL   JOAQUIM EUGENIO DE LIMA  X  AL RIBEIRAO PRETO
1910146064;AV SEN  QUEIROS  X  AV PRESTES MAIA
1910148067;R   PIRES DA MOTA  X  R CONS FURTADO - AV.ACLIMAÇÃO/R.BUENO DE ANDRADE
1910165069;AV BRIG  FARIA LIMA  X  AV HORACIO LAFER
1910178063;PC  DA SE  X  R ANITA GARIBALDI - BOMBEIROS
1910183067;R   SERGIO TOMAS  X  R ANHAIA
1910192066;R   SERGIO TOMAS  X  R ITALINA
1910202061;PQ DOM  PEDRO II  - ACESSO TERMINAL DE ONIBUS
1910206067;R   AURORA  X  R DOS ANDRADAS
1910225061;AV   CASPER LIBERO  X  LG STA IFIGENIA
1910228060;PC  DA BANDEIRA  X  R STO AMARO
1910229067;PC  DA BANDEIRA  X  R STO ANTONIO
1910328073;R CONS  NEBIAS  X  R GAL RONDON
2110003146;R   BARTOLOMEU BUENO  X  R MARTINHO DE CAMPOS
2110004142;R   LUIS ELIAS ATTIE  ENTRE  R PEDRO LADISLAU DE ALMEIDA E  R JOAO FERREIRA LEITE JUNIOR
2110006145;R BR DE TEFE  ENTRE  R EMB LEAO VELOSO E  R EMB LEAO VELOSO
2110007141;R   FRANCISCO ALVES  ENTRE  R CAMILO E  R TITO
2110008148;ES   TURISTICA DO JARAGUA  - N.1187
2110009144;R   CARDOSO DE ALMEIDA  X  R MONS ALBERTO PEQUENO
2110010142;R   AVELINO GINJO  ENTRE  R MADRE MARIA VILLAC E  R JOSE SOEIRO DE VAZ
2110012145;AL   EDUARDO PRADO  - N.793 - RET R-6ACD1BL E COL R-6ACD1AL, FR Nº 793
2110016140;R   BARRA FUNDA  X  AL RIBEIRO DA SILVA
2110019140;R   TACITO DE ALMEIDA  - N.107 - REM 1 R-6A PARA SPU FR. Nº107 E 119
2110020148;AV S  JOAO  X  R HELVETIA
2110022140;R   LOPES CHAVES  X  R BRIG GALVAO
2110023147;R CEL  JOSE RUFINO FREIRE  X  R ERVA POMBINHA
2110026146;R   CAIUBI  - N.123 - COLÉGIO PENTÁGONO
2110026146;R   CAIUBI  - N.126 - COLÉGIO PENTÁGONO
2110027142;R   CAIUBI  - N.200 - RUA CARDOSO DE ALMEIDA
2110028149;R   CAIUBI  X  R MIN GODOI
2110029145;R   SILVA AIROSA  X  R ITAPURANDA
2110030143;R   TORDESILHAS  X  R BR DE ITAUNA
2110032146;R   JOAO RAMALHO  ENTRE  R MIN GODOI E  R MONTE ALEGRE
2110034149;R   BARTIRA  ENTRE  R DR FRANCO DA ROCHA E  AV SUMARE
2110065133;R   GAGO COUTINHO  X  AV RAIMUNDO PEREIRA DE MAGALHAES
2110071133;R   SEBASTIAO PEREIRA  X  VEL PRES ARTHUR DA COSTA E SILVA - N.129
2110077131;R   FELIX GUILHEM  X  R TTE LANDI
