us;numenc;data_elaboracao;titulo;estado;sh;sv;ss;so
2701;1110177135;16/10/2013 00:00;VICHY, EN NOVA GRANADA/BARUEL;RS;;X;;
2701;1110179138;06/11/2013 00:00;BERNARDINO FANGANIELLO, 149;RS;;X;;
2701;1310001146;30/01/2014 00:00;R JOAO GUIMARAES ROSA 135 - PAIRE ESCOLA;RS;X;X;;
1243;1310065136;12/02/2014 00:00;RUA RISKALA JORGE - VERTICAL;SL;;X;;
2241;1510011110;11/02/2011 00:00;RUA ROBERTO SIMONSEN X RUA FLORIANO PEIXOTO;EQ;;X;;
2241;1510013113;11/02/2011 00:00;RUA ROBERTO SIMONSEN X RUA FLORIANO PEIXOTO;EQ;;X;;
2701;1510059091;05/08/2009 00:00;AV. DA ACLIMAÇÃO, 818;SL;X;X;;X
2701;1510076123;30/07/2012 00:00;R. MONS. ANACLETO, 46;EQ;X;X;;
2701;1510081127;14/08/2012 00:00;R. FERNANDES SILVA, 81;EQ;X;X;;
2701;1510126112;07/12/2011 00:00;R. DO LUCAS, 111;EQ;X;X;;
8008;1510145087;14/10/2008 00:00;R. JOSÉ GETULIO Nªº142;EQ;X;X;;
2701;1610046129;09/08/2012 00:00;RUA BAHIA, 89/91;EQ;X;X;;
2241;1610063120;25/04/2013 00:00;RUA SANTA IFIGÊNIA, 460;EQ;X;;;
2241;1610070127;17/10/2012 00:00;R DR MARTINICO PRADO, 463 - VALET;EQ;X;;;
2701;1710060107;27/07/2010 00:00;EUROPA,AV ALTURA DO Nº158 - SV;EQ;;X;;
2701;1710063122;28/09/2012 00:00;LEOPOLDO COUTO MAGALHÃES JR,R FRNTE 748;EQ;X;X;;
2701;1710115092;22/10/2009 00:00;PORTARIA PAIRE ESCOLA MARIO FERRAZ;EQ;X;X;;
2701;1710116099;22/10/2009 00:00;LEGENDA ESCOLA MARIO FERRAZ 70;EQ;X;;;
1207;1710119098;03/11/2009 00:00;JOÃO CACHOEIRA,R X PEDROSO ALVARENGA,R -TRAV ILUMI;EQ;;;X;
1207;1710121092;03/11/2009 00:00;R. URUSSUI - TRAV. ILUMINADA;EQ;;;X;
1207;1710122099;03/11/2009 00:00;JOÃO CACHOEIRA,R ENTRE J ARRUDA E TABAPUÃ-TRAV ILU;EQ;;;X;
1207;1710123095;03/11/2009 00:00;R. URUSSUI X LEOPOLDO C. M. JR - TRAV. ILUM.;EQ;;;X;
1207;1710124091;03/11/2009 00:00;R. LEOPOLDO C. M. JR X ATILIO INNOCENTI - TRAV. IL;EQ;;;X;
1207;1710125098;03/11/2009 00:00;R. DR. MÁRIO FERRAZ X AV. CIDADE JARDIM TRAV. ILUM;EQ;;;X;
1207;1710126094;03/11/2009 00:00;R. LEOPOLDO C. M. JR X CLODOMIRO - TRAV. ILUM.;EQ;;;X;
1207;1710129093;03/11/2009 00:00;AV. CIDADE JARDIM, TRAV. ILUM.;EQ;;;X;
1207;1710130091;03/11/2009 00:00;BANDEIRA PAULISTA,R X PEDROSO ALVARENGA,R-TRAV ILU;EQ;;;X;
3530;1710131098;03/11/2009 00:00;R. LOPES NETO - TRAV. ILUM.;EQ;;;X;
1207;1710132094;03/11/2009 00:00;R. LEOPOLDO C. M. JR X B. PAULISTA - TRAV. ILUM.;EQ;;;X;
1207;1710133090;03/11/2009 00:00;R. SALVADOR CARDOSO, TRAV. ILUM.;EQ;;;X;
1207;1710134097;03/11/2009 00:00;BANDEIRA PAULISTA,R ENTRE J ARRUDA E TABAPUÃ;EQ;;;X;
1207;1710135093;03/11/2009 00:00;R. PROF. TAMANDARE TOLEDO - TRAV. ILUM.;EQ;;;X;
1207;1710139099;03/11/2009 00:00;R. HORÁCIO LAFER, TRAV. ILUM.;EQ;;;X;
1207;1710140097;03/11/2009 00:00;R. RENATO P. BARROS X P. ALVARENGA - TRAV. ILUM.;EQ;;;X;
1207;1710141093;03/11/2009 00:00;R. JERÔNIMO DA VEIGA, TRAV. ILUM.;EQ;;;X;
3530;1710143096;03/11/2009 00:00;R. PEDROSO ALVARENGA - TRAV. ILUM.;EQ;;;X;
3530;1710144092;03/11/2009 00:00;R. DR. MARIO FERRAZ X R. TUCUMA - TRAV. ILUM.;EQ;;;X;
3530;1710146095;03/11/2009 00:00;R. PAIS DE ARAUJO X R. TABAPUA - TRAV. ILUM.;EQ;;;X;
1207;1710151099;03/11/2009 00:00;JERONIMO DA VEIGA,R X MANUEL GUEDES -TRAV ILUMI;EQ;;;X;
3530;1710152095;03/11/2009 00:00;R. MANUEL GUEDES X TABAPUA - TRAV. ILUM.;EQ;;;X;
1207;1710156090;03/11/2009 00:00;AV. NOVE DE JULHO X JOAO CACHOEIRA - TRAV. ILUM.;EQ;;;X;
1207;1710157097;03/11/2009 00:00;R. JESUINO ARRUDA X AV. SAO GABRIEL - TRAV. ILUM.;EQ;;;X;
1207;1710158093;03/11/2009 00:00;R. ATILIO INNCENTI X HORACIO LAFER - TRAV. ILUM.;EQ;;;X;
1207;1710159090;03/11/2009 00:00;R. MANUEL GUEDES X PEDROSO ALVARENGA - TRAV. ILUM.;EQ;;;X;
1207;1710160098;03/11/2009 00:00;R. MARIO FERRAZ X R. ARTUR RAMOS - TRAV. ILUM.;EQ;;;X;
2241;1710164085;30/07/2008 00:00;AV. NAÇÕES UNIDAS X R. OFÉLIA.;SL;;X;;X
2241;1910005053;10/03/2005 00:00;R.DOMINGOS DE MORAIS X R.EÇA DE QUEIROZ;EQ;;X;X;X
2241;1910015067;31/01/2006 00:00;STO AMARO X PÇA D. GASTAO;EQ;;;X;
2241;1910022055;24/05/2005 00:00;PÇ FERNANDO COSTA X ACESSO P/ RUA 25 DE MARÇO;EQ;;;X;X
2241;1910026093;23/03/2009 00:00;RUA SÉRGIO TOMÁS FR. Nº 710;EQ;X;;X;X
2701;1910029076;31/07/2012 00:00;AV BRIG. LUIS ANTONIO 1373 - PROX R CONS RAMALHO;RS;X;X;X;X
2241;1910041122;02/10/2012 00:00;AV. NOVE DE JULHO FR. Nº 3289;EQ;;;X;X
2241;1910046060;17/03/2006 00:00;AV. NOVE DE JULHO X AV. BRASIL;SL;;;X;
2241;1910048062;17/03/2006 00:00;AV. SÃO GABRIEL X PED. PRÓXIMO À AV. NOVE DE JULHO;EQ;;;X;
2701;1910051098;21/07/2009 00:00;AV RUDGE X R VISCONDE DE TAUNAY X R SOLIMOES;RS;X;;X;X
2701;1910055093;29/06/2009 00:00;R. SOLON, 1018 - PED PROX R LOPES TROVAO;RS;X;;X;X
2241;1910057053;22/08/2005 00:00;GAL OLÍMPIO X ANGÉLICA - RELOCA GF PED;EQ;;X;X;X
2241;1910058050;22/08/2005 00:00;GLETE X SÃO JOÃO - REMANEJ. GRUPOS PED;EQ;;X;X;X
2241;1910067059;04/09/2005 00:00;REDE JOSE PAULINO;EQ;;;X;
2241;1910071056;04/09/2005 00:00;REDE BRIGADEIRO LUIZ ANTONIO;EQ;;;X;
2241;1910074055;02/09/2005 00:00;R.TUTÓIA X R.DR.RAFAEL DE BARROS;EQ;;;X;
2241;1910092096;31/07/2009 00:00;AV BRIG. LUIZ ANTONIO X R HUMAITÁ;EQ;;;X;
2701;1910107093;30/09/2009 00:00;R. BOA VISTA FR 51 E R. 3 DE DEZEMBRO;RS;X;X;X;X
2241;1910121096;08/11/2009 00:00;R. BOA VISTA (EXTENSÃO);EQ;X;X;X;X
2241;1910127078;11/07/2007 00:00;SAO CARLOS PINHAL X RIO CLARO;EQ;X;X;;
2241;1910127108;05/11/2010 00:00;AL. JOAQUIM EUGÊNIO DE LIMA X R. RIBEIRÃO PRETO;SL;;;X;X
2241;1910146064;14/07/2006 00:00;AV.SENADOR QUEIRÓS X AV.PRESTES MAIA;EQ;;;X;X
2241;1910148067;18/07/2006 00:00;R.CONS.FURTADO X R.PIRES DA MOTA X AV.ACLIMAÇÃO;EQ;;;X;
2241;1910165069;07/08/2006 00:00;FARIA LIMA X HORACIO LAFER;EQ;;;X;
2241;1910178063;25/08/2006 00:00;PÇ.DA SÉ X R.ANITA GARIBALDI;EQ;;;X;X
2241;1910183067;30/08/2006 00:00;R. SÉRGIO TOMÁS X RUA ANHAIA;EQ;;;X;
2241;1910192066;14/09/2006 00:00;SÉRGIO TOMÁS X ITALIANOS;EQ;;;X;
2241;1910202061;27/09/2006 00:00;PQ.D.PEDRO II/AV.EXTERIOR X PED TERMINAL;EQ;;;X;X
