numenc;solicitacao
1110177135;0025104721351
1110179138;0025104721351
1310001146;0025016971208
1310065136;             
1510011110;9515005151155
1510013113;9515005151155
1510059091;0025129950974
1510076123;0025154101110
1510081127;0025002091219
1510126112;0025050931132
1510145087;0025133920863
1610046129;0026022041293
1610046129;0025019161231
1610046129;0025173791223
1610046129;0025185771222
1610063120;0013000121292
1610070127;0013000131255
1710060107;0025123581004
1710063122;0025145131206
1710063122;0025185781295
1710115092;0025067970845
1710116099;0025067970845
1710119098;             
1710121092;             
1710122099;             
1710123095;             
1710124091;             
1710125098;             
1710126094;             
1710129093;             
1710130091;             
1710131098;             
1710132094;             
1710133090;             
1710134097;             
1710135093;             
1710139099;             
1710140097;             
1710141093;             
1710143096;             
1710144092;             
1710146095;             
1710151099;             
1710152095;             
1710156090;             
1710157097;             
1710158093;             
1710159090;             
1710160098;             
1710164085;             
1910005053;             
1910015067;             
1910022055;0026015031067
1910022055;0025127461275
1910026093;0025186801109
1910026093;0025172010805
1910029076;0025103390602
1910029076;0025117901302
1910041122;0025147681360
1910041122;0025065671352
1910046060;             
1910048062;             
1910051098;0025182861018
1910051098;9625001481123
1910051098;0025140210736
1910051098;0025116160929
1910051098;0025136871081
1910055093;0025168121169
1910055093;0025097840990
1910057053;             
1910058050;             
1910067059;             
1910071056;             
1910074055;             
1910092096;0025085860800
1910107093;0025093421187
1910107093;0025093461138
1910107093;0025176641109
1910121096;0025183110920
1910127078;             
1910127108;             
1910146064;             
1910148067;             
1910165069;             
1910178063;             
1910183067;             
1910192066;             
1910202061;             
1910206067;             
1910225061;             
1910228060;             
1910229067;             
1910328073;0025124910729
1910328073;0025124410750
2110003146;             
2110004142;9625027801265
2110004142;0025115131100
2110004142;0025117171231
2110004142;0025125871344
2110004142;0025127431287
2110004142;0025132561231
2110004142;0025137781205
2110004142;0025137791260
2110006145;0025121610724
2110006145;0225000020701
2110007141;9625025121305
2110008148;9625022431397
2110008148;9625022441350
2110009144;             
2110010142;0025164571380
2110012145;             
2110016140;             
2110019140;             
2110020148;             
2110022140;             
2110023147;0025148451309
2110023147;0025103421184
2110023147;0025053891360
2110023147;0025010201460
2110023147;0025017951480
2110023147;0025203931060
2110026146;0025187131310
2110026146;0025046151322
2110027142;0025015331434
2110028149;0025063861308
2110028149;0025054131343
2110028149;0025119941352
2110029145;             
2110030143;             
2110032146;             
2110034149;             
2110035145;             
2110065133;             
2110071133;9625004291384
2110077131;0025049971240
2110085134;9625007171258
2110085134;0025123401391
2110085134;0025139961197
2110087137;0025237811076
2110088133;             
2110089130;0025145491245
2110089130;0025143181222
2110089130;0025087231266
2110090138;             
2110091134;             
2110093137;0025081301335
2110093137;0025074631392
2110093137;0025115331207
2110093137;0025022961375
2110096136;             
2110097132;             
2110098139;9625009721336
2110098139;0025044961335
2110098139;0025082511350
2110098139;0025104231346
2110099135;0025132141291
2110103132;0026021221220
2110103132;0025096981256
2110103132;0025100760603
2110107138;             
2110113138;             
2110114134;0025162601304
2110114134;0025182381237
2110114134;0025164401388
2110114134;0026012901290
2110114134;0025125961254
2110114134;0025108671308
2110114134;0025027521322
2110116137;             
2110117133;0025093111315
2110121130;0025175151230
2110124130;             
2110125136;9625011551124
2110125136;0025118161132
2110126132;             
2110127139;             
2110128135;             
2110129131;0025139171382
2110129131;0025138991300
2110130130;             
2110131136;             
2110132132;9625012711397
2110133139;0025023071390
2110133139;0025085961160
2110134135;             
2110135131;0025042671348
2110135131;0025136181220
2110135131;9625024001292
2110135131;1231000141340
2110136138;             
2110137134;1231000141340
2110137134;0025145591207
2110138130;1231000141340
2110139137;1231000141340
2110139137;0025220081029
2110145137;             
2110147130;0025117541349
2110148136;             
2110149132;             
2110151137;             
2110152133;             
2110153130;             
2110155132;             
2110156139;             
2110157135;             
2110158131;             
2110159120;0025051701262
2110159138;0025040571214
2110160128;0025046501080
2110160128;0025179781319
2110161132;0025051081370
2110161132;9625005191375
2110161132;0225000331375
2110164131;0025055251105
2110164131;0025040941321
2110164131;0025173811275
2110164131;0025083641265
2110164131;0025074121190
2110165138;0025019051487
2110165138;0025083641265
2110165138;0025055251105
2110165138;0025074121190
2110165138;0025040941321
2110165138;0025173811275
2110166134;             
2110167130;             
2110169133;             
2110170131;0025090821249
2110170131;1231000081428
2110170131;0025124931300
2110172134;             
2110176130;             
2110177136;0025168781177
2110177136;0025155641002
2110189134;0025162121272
2110189134;0025078091244
2110189134;0025013821299
2110189134;0025147831272
2110189134;0025028211181
2110191139;             
2110193131;0025153481067
2110194138;0025175071201
2110194138;0025191561048
2110195134;0025186521165
