numenc;nome
1110177135;CASA VERDE
1110179138;CASA VERDE
1310001146;SE
1310065136;SE
1510011110;SE
1510013113;SE
1510059091;SE
1510076123;MOOCA
1510081127;MOOCA
1510126112;MOOCA
1510145087;SE
1610046129;SE
1610063120;SE
1610070127;SE
1710060107;PINHEIROS
1710063122;PINHEIROS
1710115092;PINHEIROS
1710116099;PINHEIROS
1710119098;PINHEIROS
1710121092;PINHEIROS
1710122099;PINHEIROS
1710123095;PINHEIROS
1710124091;PINHEIROS
1710125098;PINHEIROS
1710126094;PINHEIROS
1710129093;PINHEIROS
1710130091;PINHEIROS
1710131098;PINHEIROS
1710132094;PINHEIROS
1710133090;PINHEIROS
1710134097;PINHEIROS
1710135093;PINHEIROS
1710139099;PINHEIROS
1710140097;PINHEIROS
1710141093;PINHEIROS
1710143096;PINHEIROS
1710144092;PINHEIROS
1710146095;PINHEIROS
1710151099;PINHEIROS
1710152095;PINHEIROS
1710156090;PINHEIROS
1710157097;PINHEIROS
1710158093;PINHEIROS
1710159090;PINHEIROS
1710160098;PINHEIROS
1710164085;PINHEIROS
1910005053;SE
1910015067;PINHEIROS
1910022055;SE
1910026093;SE
1910029076;SE
1910041122;PINHEIROS
1910046060;PINHEIROS
1910048062;PINHEIROS
1910051098;SE
1910055093;SE
1910057053;SE
1910058050;SE
1910067059;SE
1910071056;SE
1910074055;VILA MARIANA
1910092096;SE
1910107093;SE
1910121096;SE
1910127078;SE
1910127108;SE
1910146064;SE
1910148067;SE
1910165069;PINHEIROS
1910178063;SE
1910183067;SE
1910192066;SE
1910202061;SE
1910206067;SE
1910225061;SE
1910228060;SE
1910229067;SE
1910328073;SE
2110003146;LAPA
2110004142;PIRITUBA JARAGUA
2110006145;LAPA
2110007141;LAPA
2110008148;PIRITUBA JARAGUA
2110009144;LAPA
2110010142;LAPA
2110012145;SE
2110016140;SE
2110019140;LAPA
2110020148;SE
2110022140;SE
2110023147;PIRITUBA JARAGUA
2110026146;LAPA
2110027142;LAPA
2110028149;LAPA
2110029145;LAPA
2110030143;LAPA
2110032146;LAPA
2110034149;LAPA
2110065133;LAPA
2110071133;SE
2110077131;LAPA
2110085134;PIRITUBA JARAGUA
2110087137;PIRITUBA JARAGUA
2110088133;SE
2110089130;PIRITUBA JARAGUA
2110090138;SE
2110091134;LAPA
2110093137;SE
2110096136;LAPA
2110097132;PIRITUBA JARAGUA
2110098139;PIRITUBA JARAGUA
2110099135;PIRITUBA JARAGUA
2110103132;PERUS
2110107138;PIRITUBA JARAGUA
2110113138;PIRITUBA JARAGUA
2110114134;LAPA
2110116137;PIRITUBA JARAGUA
2110117133;LAPA
2110121130;LAPA
2110124130;LAPA
2110125136;PIRITUBA JARAGUA
2110126132;LAPA
2110127139;LAPA
2110128135;PIRITUBA JARAGUA
2110129131;LAPA
2110130130;LAPA
2110131136;LAPA
2110132132;SE
2110133139;LAPA
2110134135;LAPA
2110135131;PIRITUBA JARAGUA
2110136138;PIRITUBA JARAGUA
2110137134;PIRITUBA JARAGUA
2110138130;PIRITUBA JARAGUA
2110139137;PIRITUBA JARAGUA
2110145137;PIRITUBA JARAGUA
2110147130;LAPA
2110148136;LAPA
2110149132;LAPA
2110151137;LAPA
2110152133;SE
2110153130;LAPA
2110155132;LAPA
2110156139;LAPA
2110157135;PIRITUBA JARAGUA
2110158131;PIRITUBA JARAGUA
2110159120;LAPA
2110159138;LAPA
2110160128;CASA VERDE
2110161132;PERUS
2110164131;PIRITUBA JARAGUA
2110165138;PIRITUBA JARAGUA
2110166134;PIRITUBA JARAGUA
2110167130;LAPA
2110169133;LAPA
2110170131;PIRITUBA JARAGUA
2110172134;PIRITUBA JARAGUA
2110176130;LAPA
2110177136;PIRITUBA JARAGUA
2110189134;PIRITUBA JARAGUA
2110191139;LAPA
2110193131;LAPA
2110194138;LAPA
2110195134;LAPA
2110197137;LAPA
2110198133;LAPA
2110199130;PIRITUBA JARAGUA
2110200138;LAPA
2110201134;PIRITUBA JARAGUA
2110205130;LAPA
2110207124;SANTANA
2110210133;PIRITUBA JARAGUA
2110211130;LAPA
2110213132;SE
2110215135;PIRITUBA JARAGUA
2110216131;LAPA
2110217138;PIRITUBA JARAGUA
2110221135;LAPA
2110222131;LAPA
2110225130;LAPA
2110226137;PIRITUBA JARAGUA
2110227133;LAPA
2110228130;LAPA
2110229136;PIRITUBA JARAGUA
2110230134;LAPA
2110231130;LAPA
2110233133;LAPA
2110235136;LAPA
2110236132;LAPA
2110240130;LAPA
2110241136;LAPA
2110242132;LAPA
2110248122;SANTANA
2110253134;PIRITUBA JARAGUA
2110256133;PIRITUBA JARAGUA
2110258136;PIRITUBA JARAGUA
2110259132;LAPA
2110263130;LAPA
2110264136;PIRITUBA JARAGUA
2110265132;PIRITUBA JARAGUA
2110266139;SE
2110267135;PIRITUBA JARAGUA
2110269138;LAPA
2110274131;LAPA
2210153131;LAPA
2210190134;PIRITUBA JARAGUA
2210366100;JACANA TREMEMBE
2210366100;VILA MARIA VILA GUILHERME
2210460107;SANTANA
2310001139;PINHEIROS
2310002135;PINHEIROS
2310003131;PINHEIROS
2310004138;PINHEIROS
2310005134;PINHEIROS
2310006130;PINHEIROS
2310007137;PINHEIROS
2310009130;PINHEIROS
2310010138;LAPA
2310011134;LAPA
2310012130;SE
2310013137;PINHEIROS
2310014133;LAPA
2310015130;PINHEIROS
2310016136;PINHEIROS
2310017132;PINHEIROS
2310018139;PINHEIROS
2310019135;PINHEIROS
2310020133;PINHEIROS
2310021130;PINHEIROS
2310022136;PINHEIROS
2310024139;PINHEIROS
2310028088;LAPA
2310028134;PINHEIROS
2310029130;PINHEIROS
2310032131;PINHEIROS
2310033138;PINHEIROS
2310034134;PINHEIROS
2310035130;LAPA
2310037133;PINHEIROS
2310047082;PINHEIROS
2310050091;LAPA
2310057100;LAPA
2310063096;PINHEIROS
2310070122;LAPA
2310072125;LAPA
2310078115;PINHEIROS
2310079120;LAPA
2310090093;LAPA
2310092088;PINHEIROS
2310099120;PINHEIROS
2310107123;SE
2310108120;LAPA
2310109126;PINHEIROS
2310114090;LAPA
2310115096;LAPA
2310117129;PINHEIROS
2310118079;LAPA
2310118109;LAPA
2310119075;LAPA
2310120103;PINHEIROS
2310121070;PINHEIROS
2310123129;PINHEIROS
2310126128;LAPA
2310127124;LAPA
2310129127;PINHEIROS
2310131121;PINHEIROS
2310132128;PINHEIROS
2310134074;LAPA
2310139122;LAPA
2310140082;LAPA
2310140120;PINHEIROS
2310147125;PINHEIROS
2310156124;LAPA
2310159123;PINHEIROS
2310161098;PINHEIROS
2310162094;PINHEIROS
2310163090;PINHEIROS
2310164097;PINHEIROS
2310164127;LAPA
2310165093;PINHEIROS
2310165123;LAPA
2310166090;PINHEIROS
2310167096;PINHEIROS
2310168092;PINHEIROS
2310168122;PINHEIROS
2310169099;PINHEIROS
2310169129;PINHEIROS
2310170097;PINHEIROS
2310170127;LAPA
2310171123;LAPA
2310175129;PINHEIROS
2310176087;PINHEIROS
2310177121;LAPA
2310178128;PINHEIROS
2310181129;PINHEIROS
2310184128;LAPA
2310185124;LAPA
2310186120;PINHEIROS
2310187119;PINHEIROS
2310187127;PINHEIROS
2310191108;PINHEIROS
2310192120;PINHEIROS
2310193097;PINHEIROS
2310194093;PINHEIROS
2310195120;PINHEIROS
2310196126;PINHEIROS
2310197122;LAPA
2310198129;PINHEIROS
2310199125;PINHEIROS
2310200123;PINHEIROS
2310201120;PINHEIROS
2310202126;PINHEIROS
2310203122;PINHEIROS
2310207128;PINHEIROS
2310208124;PINHEIROS
2310210064;LAPA
2310212083;PINHEIROS
2310216127;LAPA
2310221120;LAPA
2310223123;LAPA
2310224120;PINHEIROS
